"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														104		80	0					24	0	0							
242														28		0	0					28	0	0							
279														3006		1803	0					64	1139	0							
354														1442		1123	0					28	291	0							
457														208		0	0					18	190	0							
505														8841		3672	534					43	4499	93							
1155														2299		1355	0					48	896	0							
1351														663		89	0					223	351	0							
1454														2557		2182	0					46	329	0							
1669														838		686	0					94	58	0							
1856														59		29	0					10	20	0							
2161														7081	0	5617	0	0	2242	0	0	20	1444	0	1839	0	1536	SBA PPP overage			
2732														5014		2580	0					173	2261	0							
2750														582		398	0					12	162	10							
3252														345		1	0					103	241	0							
3458														135		18	0					23	94	0							
3720														2439		1	0					25	2413	0							
3971														7340		3367	0					510	3463	0							
4156														536		285	0					111	140	0							
4231														309		0	0					92	217	0							
5069														7588		1542	0					338	5348	360							
5135														3114		2681	0					127	306	0							
5210														15544		10385	0					52	5015	92							
5461														7732		6121	0					10	1419	182							
5751														1971		1490	0					38	443	0							
6039														2338		531	0		206			190	1617	0				OTHER LIABILITIES			
6329														13116		4641	0	863				160	8315	0	3465						
7009														9828		991	0					288	8549	0							
7045														756	0	0	0	0	0	0	0	29	727	0	0	0	0				
7072														4770		3150	0					2	1618	0							
7456														383		139	0					23	221	0							
7634														213		11	0					42	160	0							
8033														5282		4058	0					242	982	0							
8462														319		0	0					188	126	5							
8631														863		781	0					14	68	0							
9357														5415		3641	0					5	1769	0							
9553														1456		0	0					43	1413	0							
9807														13896		5992	0					1538	5628	738			4897	0	0		
9955														413		0	69					21	323	0							
10250														2109		888	0					79	1142	0							
10849														689		116	0					77	496	0							
11145														2975		619	0		537	82		29	2327	0				Great Lakes Capital Fund	Differed Revenue		
11640														3449		1672	0					204	1573	0							
11837														496		240	0					24	232	0							
12030														5719		5349	0					101	269	0							
12142														5019		4895	0					79	45	0							
12311	3086835	0	2391058	42325	1258833	0	0	0	519047	119549	0	0	0									14856									
12647														185		0	0					40	145	0							
12656														30		0	17					5	8	0							
12946														19166		11878	0					231	7057	0							
13103														60780		52592	0		34793	14746		376	7792	20				Defined Benefit Retirement Plan Liability	Fair value - swaps		
13251														1799		1795	0					4	0	0							
13457														212		190	0					2	20	0							
14155														1319		761	0					26	532	0							
14650														659		341	0					6	312	0							
14753														130		0	0					34	96	0							
14865														4933		3716	0					81	1111	25							
14977														207	0	37	0	37	0	0	0	24	146	0	0	0	0				
16551														812		160	0					180	472	0							
17110														8156	0	978	0	0	734	0	0	257	6831	90	0	0	0	DEFERRED RENT LIABILITY			
17147														196144	0	129882	0	0	0	0	0	1210	41752	23300	0	98280	0				
17259														1712		1479	0					15	218	0							
17950														2768		1412	0					145	1050	161							
17978														293		119	161					3	10	0							
18050														4117		1716	0					149	2252	0							
18827														17188		13459	0					305	3406	18							
18836														2293		1101	0					37	1155	0							
18854														7540		6163	0		1094	2079		138	1239	0				Dividends Payable	Cashier's Checks		
19356														769		492	0					62	215	0							
19936														2279		2195	0					74	10	0							
19972														1251		1172	0					1	78	0							
20053														334		190	0					63	81	0							
20633														2214		1759	0					40	367	48							
20857														1076		534	0					213	329	0							
21256														12		8	0					4	0	0							
21359														216		147	0					8	61	0							
21658														1758		1322	0					66	370	0	964						
22048														2027		1378	0					75	574	0							
22543														1582		777	351					21	433	0							
22552														457		253	0					107	97	0							
22730														976		515	0					5	434	22							
23456														722		9	0					175	538	0							
23504														112112	0	71859	0	0	0	0	0	715	35229	4309	0	0	60252				
23643														260		132	0					70	58	0							
23755														1614		807	8					20	779	0							
24006														14800		9378	0					6	5416	0							
24378														628		425	0					1	202	0							
24659														623		410	0					13	200	0							
24668														14120		6283	1945					3091	2801	0							
24949														4311		3031	0					85	1195	0							
25357														1658		0	0					129	1529	0							
25647														1585		962	0			424		122	501	0				Unearned SBA Fees	AP Loans		
26457														72		7	0					13	52	0							
26765														30431		17123	0					390	9932	2986							
27070														4304		1894	0					167	2243	0							
27548														8914		3974	0					145	4795	0							
27614														2532		1230	0					72	1230	0							
27847														3986		2060	0					168	1758	0							
