"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
37			959	0	14	0	954	9	0																						
242			175	0	2	0	175	2	0																						
279			1686	125	12	0	1592	43	0																						
354			280	100	13	0	180	13	0																						
457			743	50	34	0	676	17	0																						
505			8409	360	38	0	8081	70	0																						
1155			4063	681	129	0	3789	536	0																						
1351			1202	225	55	0	1250	328	0																						
1454			5411	400	18	0	5043	50	0																						
1669			4310	364	44	0	4026	124	0																						
1856			279	0	0	0	279	0	0																						
2161			2604	440	27	0	2247	110	0			0	0																		
2732			5013	0	10	0	5066	63	0																						
2750			509	0	1	0	508	0	0																						
3252			3781	100	337	0	3967	623	0																						
3458			608	75	6	0	583	56	0																						
3720			1794	11	6	0	1780	3	0																						
3971			10577	2790	63	0	8332	608	0																						
4156			3038	0	246	0	2792	0	0																						
4231			864	0	8	0	856	0	0																						
5069			10736	964	400	0	9372	0	0																						
5135			4562	25	59	0	4593	115	0																						
5210			17952	0	53	0	19033	1134	0																						
5461			6438	-400	70	0	6774	6	0																						
5751			2410	0	94	0	2409	93	0																						
6039			4376	323	75	0	3989	11	0				0																		
6329			19478	7150	952	0	17176	5800	0				0																		
7009			0	0	0	0	0	0	0																						
7045			1158	0	18	0	1157	17	0			0	0																		
7072			2874	245	140	0	3076	587	0																						
7456			887	0	0	0	887	0	0																						
7634			1258	45	45	0	1199	31	0																						
8033			1898	0	16	0	1906	24	0																						
8462			1997	0	1	0	2009	13	0																						
8631			397	0	2	0	396	1	0																						
9357			4496	0	1056	0	4944	1504	0																						
9553			1212	0	0	0	1212	0	0																						
9807			33409	0	2401	0	31649	641	0				0																		
9955			1783	75	4	0	1710	6	0																						
10250			4815	-500	289	0	5112	86	0																						
10849			2850	90	0	0	2760	0	0																						
11145			2948	14	21	0	2964	51	0				0																		
11640			2965	30	24	0	2982	71	0																						
11837			1023	0	0	0	1024	1	0																						
12030			11447	0	6775	0	9770	5098	0																						
12142			2006	90	41	0	1986	111	0																						
12311	0		2110061	151931	144915	0	2030159	216944	0	0	5987	0		0	0	0	0	0	0	0	0	3434	0	3434	0	0	0	0	42586	0	
12647			1074	0	2	0	1075	3	0																						
12656			178	6	0	0	180	8	0																						
12946			24733	1800	1283	0	24402	2752	0																						
13103			21446	615	567	0	20360	96	0				0																		
13251			612	45	7	0	604	44	0																						
13457			103	0	0	0	103	0	0																						
14155			3830	45	10	0	3809	34	0																						
14650			892	40	70	0	1006	224	0																						
14753			532	0	2	0	530	0	0																						
14865			5429	0	37	0	5396	4	0																						
14977			606	30	2	0	679	105	0			0	0																		
16551			4256	0	57	0	4207	8	0																						
17110		0	279	0	0	0	279	0	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17147		0	226702	16755	3536	0	195397	2785	13799			0		245	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	1667	
17259			152	0	12	0	166	26	0																						
17950			5808	120	122	0	5579	13	0																						
17978			1437	0	0	0	1440	3	0																						
18050			6769	0	50	0	6859	140	0																						
18827			14392	925	174	0	13362	69	0																						
18836			1643	19	140	0	1601	117	0																						
18854			13153	2843	19	0	10316	25	0				0																		
19356			997	107	0	0	922	32	0																						
19936			4481	0	34	0	4470	23	0																						
19972			399	0	0	0	399	0	0																						
20053			1451	200	4	0	1297	50	0																						
20633			2774	250	4	0	2691	171	0																						
20857			2456	-165	0	0	2625	4	0																						
21256			71	0	1	0	70	0	0																						
21359			462	18	5	0	441	0	-2																						
21658			2381	75	27	0	2296	17	0				0																		
22048			3304	275	24	0	3090	85	0																						
22543			2586	90	9	0	2507	20	0																						
22552			919	0	3	0	918	2	0																						
22730			1423	0	76	0	1590	243	0																						
23456			2454	280	24	0	2176	26	0																						
23504		0	81935	5152	4138	0	83853	11208	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-113	0	
23643			1363	90	63	0	1325	115	0																						
23755			2305	-100	7	0	2441	43	0																						
24006			9048	576	136	0	8429	93	0																						
24378			222	30	7	0	185	0	0																						
24659			576	0	6	0	630	60	0																						
24668			20415	14582	323	0	12671	7161	0																						
24949			6312	-1000	141	0	7181	10	0																						
25357			6661	1175	87	0	5901	502	0																						
25647			2937	350	0	0	3023	436	0				0																		
26457			232	4	0	0	228	0	0				0																		
26765			34213	754	396	0	33702	639	0																						
27070			5613	540	7	0	5087	21	0																						
27548			8902	-1400	244	0	11125	1067	0																						
27614			1353	-100	26	0	1461	34	0																						
27847			7332	500	209	0	6855	232	0																						
28013		0	41882	3253	441	0	38973	785	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28152			1444	0	0	0	1444	0	0				0																		
28675			801	0	0	0	801	0	0				0																		
28732			1166	90	3	0	1084	11	0																						
29476			1615	194	6	0	1566	151	0																						
29636			5069	96	584	0	4513	124	0																						
29878			17395	-254	79	0	17570	0	0				0																		
30052			401	10	0	0	393	2	0																						
30502			10622	1050	213	0	9466	107	0																						
30650			120	120	0	0	0	0	0																						
30810	0		7061000	1475486	684805	0	6821480	1920771	0	0	174000			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	1582000	
31134			1560	180	24	0	1400	44	0				0																		
31255			8207	631	89	0	7649	162	0			0	0																		
31657			1008	0	16	0	992	0	0																						
31826			3673	489	49	0	3180	45	0				0																		
31835			2019	0	159	0	1958	98	0																						
32234			251	101	20	0	168	38	0																						
32766			1176	395	0	0	809	28	0																						
32971			2685	0	86	0	2733	134	0																						
33147			4336	0	6	0	4853	523	0																						
33259			9926	1338	245	0	8720	377	0																						
33268			1238	14	1	0	1246	23	0																						
33370			141	0	0	0	141	0	0																						
33839			103	10	0	0	93	0	0																						
33857			11249	861	55	0	10424	91	0				0																		
34434			2704	0	46	0	2742	84	0																						
34537		0	95329	12054	1467	0	83315	1557	50					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34555			2676	0	88	0	2604	16	0			0	0																		
34742			4902	110	1	0	4802	11	0																						
35057			2089	132	32	0	1962	37	0			0	0																		
35301	0		97000	14000	0	0	87000	4000	0			0		0	0	0	0	0	0	2000	0	0	0	0	2000	0	0	0	-4000	0	
35646			381	88	0	0	296	3	0																						
35879			969	0	1	0	986	18	0																						
36456			2820	0	535	0	2318	33	0																						
36933			2570	310	1	0	2282	23	0																						
37051			990	71	0	0	885	5	39																						
37341			1045	90	8	0	956	9	0																						
37435			15109	32	539	0	15109	571	0																						
37640		0	44699	5850	351	0	37017	1636	3117			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37659			497	25	1	0	482	11	0			0	0																		
37949			2729	180	9	0	2543	3	0																						
38740			1999	-75	9	0	2092	27	0																						
39327			2204	275	24	0	1998	93	0																						
39756			6792	225	198	0	6454	85	0				0																		
40033			903	0	2	0	901	0	0																						
40499		0	44621	1982	1683	0	45377	3110	-1311					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1570	0	
40855			1411	30	2	0	1428	49	0																						
41553			643	0	0	0	645	2	0																						
41629			2068	-289	239	0	2330	212	0																						
41825			7524	1010	21	0	6500	7	0				0																		
42037			496	0	21	0	533	58	0																						
42354			1942	519	0	0	1442	19	0																						
42372			2613	0	9	0	2637	33	0																						
42420		0	96093	8694	1976	0	92522	7099	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3292	0	
42448			25232	3584	970	0	22868	2190	0			0	0																		
42457			725	125	0	0	600	0	0																						
43052			1286	90	22	0	1391	217	0																						
43351			3814	1600	198	0	2354	338	0																						
43856			520	33	0	0	487	0	0																						
43959			800	160	2	0	1034	396	0																						
44040			4751	0	23	0	4842	114	0																						
44433			6650	294	26	0	6353	23	0				0																		
44741			4628	306	37	0	4364	79	0																						
44750			2045	0	18	0	2037	10	0																						
44929			1151	45	9	0	1106	9	0				0																		
45038			1078	-230	10	0	1298	0	0			0	0																		
45047			2557	165	76	0	2558	242	0																						
45056			478	0	21	0	457	0	0																						
45430			813	110	11	0	700	8	0																						
45458			1957	-55	2	0	2035	25	0																						
45551			9591	45	113	0	9846	413	0																						
45560			15499	0	130	0	15581	212	0				0																		
45775			909	0	0	0	909	0	0																						
46053			2869	27	320	0	2760	238	0																						
46941			1817	42	36	0	1818	79	0																						
47247			8354	1129	74	0	7234	83	0				0																		
47256			377	5	1	0	372	1	0																						
47452			694	-960	20	0	1656	22	0																						
47500			4138	-321	186	0	4291	18	0																						
48057			773	40	247	0	527	41	0																						
48150			221	9	1	0	226	15	0																						
48374			11572	560	690	0	11606	1284	0																						
48440			1566	0	38	0	1530	2	0																						
49054			3266	0	267	0	2999	0	0																						
49148			700	0	2	0	701	3	0																						
49241			10265	600	138	0	9838	311	0																						
49652			2953	0	4	0	2955	6	0																						
49858			1491	165	1	0	1325	0	0																						
49951			445	199	4	0	248	6	0																						
50144			587	15	24	0	552	4	0																						
50461			4945	300	0	0	4645	0	0				0																		
51253			11153	3900	285	0	7813	845	0			0	0																		
51356			309	0	2	0	308	1	0				0																		
51459			1587	65	11	0	1518	7	0																						
51842			13907	-4750	36	0	18625	4	0				0																		
52719			0	0	0	0	0	0	0			0	0																		
52951			3759	558	138	0	4614	1551	0																						
53051			500	0	0	0	500	0	0																						
54058			9005	80	405	0	8572	52	0				0																		
54656			4346	0	69	0	4371	94	0			0	0																		
54973		0	70406	-192	4189	0	71130	4721	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-500	0	
55336			3725	755	98	0	3703	831	0																						
55635			954	0	17	0	1202	265	0																						
55653			963	0	18	0	962	17	0																						
55970			6867	0	0	0	6867	0	0																						
