"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																					45	2129	3036		219				643					0		0	0	0				
242																					204	0	471		6				261					0		0	0	0				
279																					2051	2164	11677		303				1065					0		6094	0	0				
354																					394	2	2661		2138				127					0		0	0	0				
457																					409	0	927		71				447					0		0	0	0				
505																					5076	2270	18399		3954				1949					0		5150	0	0				
1155																					987	0	9944		585				2247					0		6125	0	0				
1351																					237	0	1880		206				1437					0		0	0	0				
1454																					1443	0	15705		2203				3883					0		8176	0	0				
1669																					421	2823	19746		621				1992					0		12980	0	909				
1856																					220	0	617		131				266					0		0	0	0				
2161																				0	1454	4770	16634	129	959	787	0	0	1155	0	0	0	0	0	0	8296	0	0	investment in partnership			
2732																					1140	1876	7662		2623				2023					0		0	0	0				
2750																					235	0	3934		128				1013					0		2558	0	0				
3252																					636	0	4951		530				3785					0		0	0	0				
3458																					376	488	2951		110				604					0		1373	0	0				
3720																					320	3070	14469		338				969					0		6893	0	2879				
3971																					4973	6964	36929		5694				4064					0		15234	0	0				
4156																					431	351	8674		293				1066					0		5438	0	1095				
4231																					0	1574	6397		248				480					0		4095	0	0				
5069																					0	564	9483		7522				1397					0		0	0	0				
5135																					1172	1523	17055		975				6353					0		7032	0	0				
5210																					1653	20345	125038		19105				6422					0		71020	0	6493	Prepaid Pension			
5461																					4516	1128	19926		2483				2437					0		9362	0	0				
5751																					545	647	9275		366				2053					0		3769	365	1530				
6039																					249	1115	6771	850	1499	564			1828					0		2080	0	0	ANNUITY ASSET			
6329																				795	720	10345	44178	7390	10659				5334		114			0		14278	0	2842				
7009																					0	260	9677		7158				2259					0		0	0	0				
7045																				0	669	5370	7488	276	359	0	0	0	1090	0	0	0	0	0	0	0	0	0				
7072																					2963	2675	20112		4136				1518					0		8820	0	0				
7456																					575	0	4234		185				1689					0		1785	0	0				
7634																					81	0	842		327				434					0		0	0	0				
8033																					1815	657	6892		593				2116					0		1711	0	0				
8462																					21	0	873		17				835					0		0	0	0				
8631																					343	199	3408		66				194					0		2606	0	0				
9357																					793	0	6331		3784				1754					0		0	0	0				
9553																					3206	0	10793		276				3353					0		2948	0	1010				
9807																					5611	0	145687	1238	1737				9452					0		38025	90862	0				
9955																					2778	335	4191		115				963					0		0	0	0				
10250																					2959	0	5975		753				1908					0		355	0	0				
10849																					658	2101	4465		509				1197					0		0	0	0				
11145																					1325	5446	18114	1188	2687		1499		1522					0		4387	0	2747		Great Lakes Capital Fund		
11640																					2571	5204	25072		2567				3538					0		11192	0	0				
11837																					72	2309	2941		95				465					0		0	0	0				
12030																					14666	2281	22012		1340				2351					0		1374	0	0				
12142																					740	4406	13216		838				1547					0		2976	0	2709				
12311	0	759551	747319	7381091	0	2651342	0	0	0	528172	0	0	774892	0	0	0	723798	882666	1088243		759551																					
12647																					900	0	1957		148				909					0		0	0	0				
12656																					14	0	155		39				102					0		0	0	0				
12946																					8560	34528	76475		6343				9944					0		4142	12958	0				
13103																					6392	24703	71349		20743				6208	14746				0		13303	0	0				
13251																					620	0	1502		62				279					0		541	0	0				
13457																					0	125	1351		0				317					0		909	0	0				
14155																					512	0	8834		489				2720					0		5113	0	0				
14650																					65	285	2032		81				206					0		1395	0	0				
14753																					182	160	995		103				550					0		0	0	0				
14865																					1199	3614	25859		2647				6874					0		7837	1831	1857				
14977																				0	215	118	977	55	55	0	0	0	589	0	0	0	0	0	0	0	0	0				
16551																					1807	0	8382		390				1673					0		4512	0	0				
17110																				0	219	0	4122	1241	3777	1601	0	0	126	0	0	0	0	0	0	0	0	0	INVESTMENT ADVISORY/TRUSTEE FEES RECEIVABLE			
17147																				0	38060	134637	763804	34865	213322	0	0	0	71589	99073	0	0	0	0	0	212998	74377	18821				
17259																					355	0	2855		142				276					0		2082	0	0				
17950																					2005	13644	21924		898				5076					0		0	0	301				
17978																					2289	0	3742		592				861					0		0	0	0				
18050																					2075	0	18284		2997				2873					0		10339	0	0				
18827																					5549	7562	76963		18105				9096					0		19962	0	16689				
18836																					572	1407	8109		1349				438					0		4343	0	0				
18854																					1193	5534	14649	927	1568				6354					0		0	0	0				
19356																					497	0	4013		205				424					0		2887	0	0				
19936																					419	4505	13517		469				1694					0		6430	0	0				
19972																					34	316	6149		63				288					0		4030	0	1418				
20053																					243	333	2623		104				659					0		1284	0	0				
20633																					1261	4038	16855		2825				932					0		7799	0	0				
20857																					1191	0	9576		2545				5036					0		804	0	0				
21256																					59	0	515		23				68					0		365	0	0				
21359																					316	0	1161		159				507					0		179	0	0				
21658																					1120	168	5996		87				918					0		3112	0	591				
22048																					1133	0	10081		2255				973					0		5720	0	0				
22543																					824	0	2614		887				903					0		0	0	0				
22552																					497	0	1895		176				1222					0		0	0	0				
22730																					458	5078	11122		999				1146					0		3441	0	0				
23456																					978	0	5734		254				1457					0		3045	0	0				
23504																				0	65656	57873	560443	26320	64283	0	0	0	41526	18734	0	0	0	0	0	277157	35193	18755				
23643																					1728	0	9441		686				988					0		3297	0	2742				
23755																					560	0	7443		317				918					0		5648	0	0				
24006																					2878	4403	59317		8648				6875					0		32815	0	3698				
24378																					339	194	1017		279				205					0		0	0	0				
24659																					59	0	715		0				656					0		0	0	0				
24668																					5873	0	12253		2151				4229					0		0	0	0				
24949																					1581	3938	17609		434				1291					0		10365	0	0				
25357																					4243	0	9537		397				4897					0		0	0	0				
25647																					1315	1635	4507	203	498				1059			295		0		0	0	0				
26457																					0	47	555	162	162				346					0		0	0	0				
26765																					12809	0	96553		6464				6788					0		50085	0	20407				
27070																					4189	8329	41627		1337				2503					0		25269	0	0				
27548																					1898	15248	42288		9539				3921					0		11682	0	0				
27614																					1790	10829	24707		926				2584					0		8578	0	0				
27847																					2207	0	26966		1683				4146					0		14355	0	4575				
28013																					30031	47980	286563		25431	15856			16075					0		102963	0	64083	State and Local Taxes			
28152																					621	0	7063	85	1773				1085	1688				0		3584	0	0				
28675																					1484	1492	3821	150	188				657					0		0	0	0				
28732																					219	1033	2849		143				427					0		1027	0	0				
29476																					621	260	4746		178				781					0		2906	0	0				
29636																					2549	31212	65716		2130				4281					0		18467	799	6278				
29878																					2307	10209	24276	1226	6208	80	4258		5552			644		0		0	0	0	Seat License	Additional Minimum Liabilty Pension		
30052																					119	0	258		40				99					0		0	0	0				
30502																					3381	13235	29092		9476				3000					0		0	0	0				
30650																					421	396	1430		248				365					0		0	0	0				
30810		9681	1893375	3097361	38789	91256	24723			1103049					0		0	0	0																				Income tax receivable			
31134																					113	1255	3543	327	399				1053					0		723	0	0				
31255																				0	2865	0	24344	1699	2636	0	0	0	3713	0	0	0	0	0	0	13080	0	2050				
31657																					402	0	5302		253				643					0		0	0	4004				
31826																					1764	1754	11219	286	1917				1024					0		4760	0	0	Deferred Compensation			
31835																					1917	1935	19178		512				1828					0		12986	0	0				
32234																					2447	8951	19551		5937				2216					0		0	0	0				
32766																					1939	0	2537		195				403					0		0	0	0				
32971																					1265	2801	15246		1020				1154					0		8711	0	295				
33147																					810	0	7726		774				2744					0		2647	0	751				
33259																					1978	7907	30958		2962				2796					0		15315	0	0				
33268																					0	0	3989		212				733					0		3044	0	0				
33370																					355	257	644		0				32					0		0	0	0				
33839																					79	0	696		338				279					0		0	0	0				
33857																					9384	0	17898	2063	2163				6351					0		0	0	0				
34434																					1034	0	5150		672				1136					0		2308	0	0				
34537																					40024	81599	410331		54251				25370	24117				0		201380	0	7707	Deferred Comp			
34555																				0	4424	0	15853	749	1000	0	0	0	2964	0	187	0	0	0	0	7465	0	0				
34742																					2755	2598	18633		1565				931					0		10784	0	0				
35057																				0	882	80	5570	231	694	0	0	0	1021	0	0	0	0	0	0	2146	0	747				
35301	0	408000	960000	31605000	0	26069000	19534000	0	0	540000	0	0	0	0	0	0	638000	2990000	0		405000																		Receivables on Cash Collateral			
35646																					1449	872	4848		90				356					0		2081	0	0				
35879																					1076	2218	11862		587				661					0		7320	0	0				
36456																					292	1766	4681		213				1598					0		812	0	0				
36933																					165	3168	8777		598				1187					0		3659	0	0				
37051																					173	0	1077		144				550					0		210	0	0				
37341																					555	0	2073		53				302					0		1163	0	0				
37435																					1141	12074	21823		3870				4738					0		0	0	0				
37640																				0	15106	83966	222669	4709	28339	7718	0	0	14180	0	0	0	0	0	0	52997	0	28081	Investments in Affordable Housing			
37659																				0	47	0	1933	14	566	0	0	0	312	0	0	0	0	0	0	1008	0	0				
37949																					346	0	9293		329				1832					0		6786	0	0				
38740																					1850	4723	14724		422				1113					0		6616	0	0				
39327																					467	5011	30103		2853				1660					0		19676	436	0				
39756																					674	0	18436	1705	2510				4012					0		7795	0	3445	0			
40033																					309	0	3883		730				152					0		915	0	1777				
40499																					17383	11594	179932		44813	14511			12870					0		86008	1819	5445	DEFERRED COMPENSATION PLAN			
40855																					773	0	1732		34				925					0		0	0	0				
41553																					343	0	2831		38				619					0		1831	0	0				
41629																					2116	333	7071		3300				853					0		469	0	0				
41825																					2281	5344	18494	858	2046				2076			522		0		4794	0	1953	Other Assets	Health Insurance Reserve		
42037																					0	1284	4143		119				452					0		2017	0	271				
42354																					110	0	6007		242				936					0		4719	0	0				
42372																					226	3662	13076		1523				1169					0		6496	0	0				
42420																				600	15456	62765	422011	12194	92702				27098	51845				0		143581	72715	7694				
42448																				8	8453	1999	43850	2131	2820	0	0	0	10254	0	314	0	0	0	0	20324	0	0				
42457																					609	0	1758		511				638					0		0	0	0				
43052																					2125	254	7490		590				297					0		4224	0	0				
43351																					674	68	6597		330				3070					0		0	1291	1164				
43856																					1005	350	3442		389				196					0		1502	0	0				
43959																					235	3795	5535		890				615					0		0	0	0				
44040																					1393	6023	18614		304				3691					0		7203	0	0				
44433																					2639	3354	8307	584	825				1489					0		0	0	0				
44741																					1459	3623	8298		1077				2139					0		0	0	0				
44750																					1031	2663	9944		371				623					0		3499	0	1757				
44929																					979	0	4815	185	192				450					0		1413	0	1781				
45038																				0	214	3757	6878	0	142	0	0	0	724	0	0	0	0	0	0	2041	0	0				
45047																					583	0	2571		674				1314					0		0	0	0				
45056																					216	460	1746		107				963					0		0	0	0				
45430																					470	2542	7071		162				376					0		1932	0	1589				
