"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																				55	1778	2634		165				636					0	0	0	0				
242																				204	0	595		16				375					0	0	0	0				
279																				3557	2935	15111		811				1541					0	6267	0	0				
354																				210	710	2033		408				705					0	0	0	0				
457																				431	0	1078		104				543					0	0	0	0				
505																				6107	1582	22303		6065				3187					0	5362	0	0				
1155																				1026	0	13230		928				3011					0	8265	0	0				
1351																				129	0	2479		356				1994					0	0	0	0				
1454																				856	0	17256		3574				4313					0	8513	0	0				
1669																				881	2764	21586		439				2508					0	14067	0	927				
1856																				216	0	715		28				471					0	0	0	0				
2161																				3076	3899	19385		2258				1507					0	8645	0	0				
2732																				1369	1323	7438		2324				2422					0	0	0	0				
2750																				406	0	4804		234				1504					0	2660	0	0				
3252																				662	0	5888		1491				3735					0	0	0	0				
3458																				218	513	2812		149				500					0	1432	0	0				
3720																				298	2721	14526		397				803					0	7350	0	2957				
3971																				2420	6434	37759		8584				4991					0	15330	0	0				
4156																				440	268	9351		550				1318					0	5650	0	1125				
4231																				0	1572	6964		239				555					0	4598	0	0				
5069																				0	553	9094		6604				1937					0	0	0	0				
5135																				945	1482	17388		903				6703					0	7355	0	0				
5210																				10877	17160	140035		23510				8140					0	73723	0	6625				
5461																				4516	847	19873		2180				2610					0	9720	0	0				
5751																				597	450	9276		497				2648					0	3525	0	1559				
6039																				359	973	8362	608	1546	562			3302					0	2182	0	0	Annuity Asset			
6329																			1542	1563	12048	47608	1704	7671	1846			8353		64			0	15076	0	2897	UNPOSTED DEBITS			
7009																				0	1141	11031		7189				2701					0	0	0	0				
7045																			3	669	4242	6481	214	296				1274					0	0	0	0				
7072																				2671	2312	20942		4981				1851					0	9127	0	0				
7456																				497	0	4839		371				2112					0	1859	0	0				
7634																				98	0	1102		318				686					0	0	0	0				
8462																				21	0	1354		3				1330					0	0	0	0				
8631																				347	591	3923		74				205					0	2706	0	0				
9357																				340	0	5718		3283				2095					0	0	0	0				
9553																				3001	0	9976		457				2408					0	3062	0	1048				
9807																				8150	0	161179	971	2266	703			11817					0	39120	99826	0	Unposted DDA Debits			
9955																				3026	134	4388		96				1132					0	0	0	0				
10250																				2367	0	6280		1107				2437					0	369	0	0				
10849																				690	1807	4828		964				1367					0	0	0	0				
11145																				1590	4620	20825	1491	4561	984	1121		2032	965				0	6886	0	1136	Marble Cliff Capital	Great Lakes Capital Fund		
11640																				3109	4225	25804		2526				4264					0	11680	0	0				
11837																				147	2143	3074		162				622					0	0	0	0				
12030																				19843	4575	29129		234				2985					0	1492	0	0				
12142																				768	3176	12135		490				1824					0	3078	0	2799				
12311	0	677803	749226	6519017	0	1669716	0	0	0	711733	0	0	0	0	0	725451	933458	1051630		677803																				
12647																				578	0	2032		367				1087					0	0	0	0				
12946																				10015	29801	99179		5111				15702					0	4104	34446	0				
13103																				2148	17481	60526		18633				8239	11601				0	14025	0	0				
13251																				731	0	1707		128				284					0	564	0	0				
13457																				0	0	582		163				419					0	0	0	0				
14155																				386	0	10858		545				4575					0	5352	0	0				
14650																				152	0	2245		190				462					0	1441	0	0				
