"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																				0	45	1884	2956	0	446	0	0	0	581	0	0	0	0	0	0	0	0	0				
242																				0	204	0	496	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0				
279																				0	2648	2232	12565	220	233	0	0	0	1327	0	0	0	0	0	0	6125	0	0				
354																				0	552	7	1295	0	537	259	0	0	199	0	0	0	0	0	0	0	0	0	Fed Inc Tax Receivable			
457																				0	502	0	1003	0	80	0	0	0	421	0	0	0	0	0	0	0	0	0				
505																				0	5502	2235	20705	0	5416	2455	0	0	2367	0	0	0	0	0	0	5185	0	0	Pension Asset			
1155																				0	992	0	10004	356	462	0	17	0	2387	0	0	0	0	0	0	6163	0	0		Bond Receivable		
1351																				0	237	0	1899	0	334	0	0	0	1328	0	0	0	0	0	0	0	0	0				
1454																				0	1443	0	16625	1086	3139	757	0	0	3810	0	0	883	0	0	0	8233	0	0	PROCESSING DEPOSIT			
1669																				0	837	2969	20542	545	565	0	0	0	2196	0	0	0	0	0	0	13063	0	912				
1856																				0	222	0	616	63	111	0	0	0	283	0	0	0	0	0	0	0	0	0	0			
2161																				0	1463	4440	16864	348	1178	786	0	0	1431	0	0	0	0	0	0	8352	0	0	investment in partnership			
2732																				0	1140	1659	7533	0	2659	1865	0	0	2075	0	0	0	0	0	0	0	0	0	Right To Use - Lease			
2750																				0	236	0	4096	295	295	0	0	0	991	0	0	0	0	0	0	2574	0	0				
3252																				0	636	0	5273	746	1488	742	0	0	3149	0	0	0	0	0	0	0	0	0	Non Post DDA Debits			
3458																				0	436	450	2935	0	154	0	0	0	513	0	0	0	0	0	0	1382	0	0				
3720																				0	320	2821	14594	325	345	0	0	0	1210	0	0	0	0	0	0	7006	0	2892				
3971																				0	4345	6884	38551	755	7972	4255	22	0	4449	0	65	2782	0	0	0	14901	0	0	Total A/R from Holding Co or affiliate	Due from parent and affiliates - net		
4156																				0	435	336	8871	0	319	0	0	0	1209	0	0	0	0	0	0	5471	0	1101				
4231																				0	0	1395	6571	104	207	0	0	0	541	0	0	0	0	0	0	4428	0	0				
5069																				0	0	558	10608	0	7665	0	0	0	2385	0	0	6268	0	0	0	0	0	0				
5135																				0	1172	1448	16421	576	755	0	0	0	5963	0	0	0	0	0	0	7083	0	0				
5210																				0	1627	19185	125323	0	19603	12893	0	0	6915	0	0	0	0	0	0	71479	0	6514	Prepaid Pension			
5461																				0	4516	1069	20628	1143	2638	700	0	0	3001	0	0	0	0	0	0	9404	0	0	CRA Investment			
5751																				0	421	645	8957	204	279	0	0	0	1903	0	0	0	0	0	0	3806	367	1536	Receivable from Bond Security			
6039																					249	1080	7295	710	1706	564			2179					0		2081	0	0	Annuity Asset			
6329																				478	720	10175	39192	1830	4408				6570		123			0		14469	0	2850				
7009																				0	0	212	15066	2133	11480	0	0	0	3374	0	0	8526	0	0	0	0	0	0				
7045																				0	669	4626	7011	333	389	0	0	0	1327	0	0	0	0	0	0	0	0	0				
7072																				0	3591	2506	21365	487	4679	2544	501	0	1721	0	0	0	0	0	0	8868	0	0	Deferred Compensation	Deferred Commissions		
7456																				0	580	0	4275	0	449	337	0	0	1449	0	0	0	0	0	0	1797	0	0	Prepaid Health Insurance			
7634																				0	81	0	987	226	354	128	0	0	552	0	0	0	0	0	0	0	0	0	Late fees receivable			
8033																				0	1818	973	6994	86	207	114	0	0	2270	0	7	0	0	0	0	1726	0	0	All Other Assets			
8462																				0	21	0	1111	0	11	0	0	0	1079	0	0	0	0	0	0	0	0	0				
8631																				0	343	720	4011	101	101	0	0	0	227	0	0	0	0	0	0	2620	0	0				
9357																				0	793	0	6055	835	3465	2335	0	0	1797	0	0	0	0	0	0	0	0	0	Suspense Accounts			
9553																				0	3296	0	11245	362	499	137	0	0	3468	0	0	0	0	0	0	2966	0	1016	Nebraska Fund XV Investment			
9807																					5499	0	152401	1106	2648	1442			12081					0		38249	93924	0	Unposted DDA debits			
9955																				0	2741	222	4072	77	80	0	0	0	1029	0	0	0	0	0	0	0	0	0				
10250																				0	2898	0	6565	584	873	177	0	0	2437	0	96	0	0	0	0	357	0	0	SBA Guaranteed Receivable			
10849																				0	505	1803	4115	290	586	197	0	0	1221	0	98	0	0	0	0	0	0	0	FAS 91 Deferred Asset			
11145																					1325	5606	18096	1272	2597		1325		1395					0		4415	0	2758		Great Lakes Capital Fund		
11640																				0	2485	4730	24703	316	2580	0	0	0	3618	0	0	0	0	0	0	11290	0	0				
11837																				0	72	1978	2515	0	109	0	0	0	356	0	0	0	0	0	0	0	0	0				
12030																				0	15127	2521	22471	0	533	468	0	0	2880	0	0	0	0	0	0	1410	0	0	Reclassified NSFs			
12142																				0	749	4093	12862	408	595	0	0	0	1710	0	24	0	0	0	0	2991	0	2724				
12311	0	813054	496656	6664355	0	2060257	0	0	0	597479	0	0	0	0	0	0	732517	881018	1083374		813054																					
12647																				0	900	0	1989	0	206	0	0	0	883	0	0	0	0	0	0	0	0	0				
12656																				0	14	0	159	41	41	0	0	0	104	0	0	0	0	0	0	0	0	0				
12946																				0	8832	30369	72699	1323	6011	176	0	0	10827	0	284	282	0	0	0	4239	12421	0	Prepaid taxes	clearing accounts-wires and GL	Interest rate swaps-FV adj	
13103																					9799	11987	80872		38330				7240	13810				0		13516	0	0				
13251																				0	655	0	1535	101	111	0	0	0	228	0	10	0	0	0	0	541	0	0				
13457																				0	0	59	1286	0	0	0	0	0	312	0	0	0	0	0	0	915	0	0				
14155																				0	747	0	9436	410	434	0	0	0	3104	0	0	0	0	0	0	5151	0	0				
14650																				144	65	285	2139	55	201	0	0	0	186	0	0	0	0	0	0	1402	0	0				
14753																				0	181	182	1464	0	704	0	0	0	397	0	0	0	0	0	0	0	0	0				
14865																				0	1199	3684	24131	512	1431	0	0	0	6217	0	394	0	0	0	0	7891	1844	1865				
14977																				0	216	74	1133	55	65	0	0	0	778	0	0	9	0	0	0	0	0	0				
16551																				0	2144	0	9118	242	322	0	0	0	2112	0	20	0	0	0	0	4540	0	0				
17110																				0	219	0	4598	0	4210	1665	0	0	169	0	0	0	0	0	0	0	0	0	INVESTMENT ADVISORY/TRUSTEE FEES RECEIVABLE			
17147																				0	38529	109551	721118	0	180416	0	0	0	85047	93036	0	0	0	0	0	215573	74287	17715				
17259																				0	595	0	3099	69	76	0	0	0	335	0	0	0	0	0	0	2093	0	0		0		
17950																				0	2637	12481	21290	389	905	450	0	0	4966	0	0	0	0	0	0	0	0	301	DFB Travelers Expense	Other assets	0	
17978																				0	2289	0	3641	251	419	36	70	0	933	0	0	62	0	0	0	0	0	0	Accrued Late Charges Receivable	Unearned Loan Fees Net of Cost		
18050																				0	2693	0	20669	1785	3513	0	0	0	4058	0	371	0	0	0	0	10405	0	0				
18827																				0	5966	6974	78433	0	18407	10817	0	0	10232	0	0	0	0	0	0	20075	0	16779	NET DERIVATIVE ASSET			
