"IDRSSD"	RCFDM708	RCFDM709	RCFDM710	RCFDM711	RCFDM712	RCFDM713	RCFDM714	RCFDM715	RCFDM716	RCFDM717	RCFDM719	RCFDM720	RCFDM721	RCFDM722	RCFDM723	RCFDM724	RCFDM725	RCFDM726	RCFDM727	RCFDM728	RCFDM729	RCFDM730	RCFDM731	RCFDM732	RCFDM733	RCFDM734	RCFDM735	RCFDM736	RCFDM737	RCFDM738	RCFDM739	RCFDM740	RCFDM741	RCFDM742	RCFDM743	RCFDM744	RCFDM745	RCFDM746	RCFDM747	RCFDM748	RCFDM749	RCFDM750	RCFDM751	RCONM708	RCONM709	RCONM710	RCONM711	RCONM712	RCONM713	RCONM714	RCONM715	RCONM716	RCONM717	RCONM719	RCONM720	RCONM721	RCONM722	RCONM723	RCONM724	RCONM725	RCONM726	RCONM727	RCONM728	RCONM729	RCONM730	RCONM731	RCONM732	RCONM733	RCONM734	RCONM735	RCONM736	RCONM737	RCONM738	RCONM739	RCONM740	RCONM741	RCONM742	RCONM743	RCONM744	RCONM745	RCONM746	RCONM747	RCONM748	RCONM749	RCONM750	RCONM751	
1669																																																																																							
1856																																																																																							
2161																																																																																							
2732																																																																																							
2750																																																																																							
3252																																																																																							
3458																																																																																							
3720																																																																																							
3971																																																																																							
4156																																																																																							
4231																																																																																							
5069																																																																																							
5135																																																																																							
5210																																																																																							
5461																																																																																							
5751																																																																																							
6039																																																																																							
6329																																												0	0	204772	2655	0	0	827	0	252313	1759	0	0	763	1	256699	1555	0	0	0	0	98148	1618	0	0	0	0	0	0	0	0	61	33	413742	11684	0	0	215	1651	34	1225674	19486	0	0	
7009																																																																																							
7045																																																																																							
7072																																																																																							
7456																																																																																							
7634																																																																																							
8033																																																																																							
8462																																																																																							
8631																																																																																							
9357																																																																																							
9553																																																																																							
9807																																												10186	0	300439	4955	0	0	28974	0	992943	21594	0	0	191	0	237946	555	0	0	0	0	25315	322	0	0	0	0	0	0	0	0	0	0	559	6	0	0	564	39351	0	1557202	27996	0	0	
9955																																																																																							
10250																																																																																							
10849																																																																																							
11145																																																																																							
11640																																																																																							
11837																																																																																							
12030																																																																																							
12142																																																																																							
12311																																																																																							
12647																																																																																							
12656																																																																																							
12946																																																																																							
13103																																												0	0	123132	1784	0	0	1411	40	818729	12145	0	0	0	0	866792	3719	0	0	1772	0	134911	2508	0	0	0	0	0	0	0	0	0	0	358523	1873	0	0	4	3183	40	2302087	22033	0	0	
13251																																																																																							
13457																																																																																							
14155																																																																																							
14650																																																																																							
14753																																																																																							
14865																																																																																							
14977																																																																																							
16551																																																																																							
17110																																																																																							
17147																																																																																							
17259																																																																																							
17950																																																																																							
17978																																																																																							
18050																																																																																							
18827																																																																																							
18836																																																																																							
18854																																												0	0	159556	2031	0	0	1983	0	412891	5245	0	0	0	0	62446	780	0	0	18995	133	507800	6449	0	0	0	0	0	0	0	0	22	0	6927	96	0	0	0	21000	133	1149620	14601	0	0	
19356																																																																																							
19936																																																																																							
19972																																																																																							
20053																																																																																							
20633																																																																																							
20857																																																																																							
21256																																																																																							
21359																																																																																							
21658																																																																																							
22048																																																																																							
22543																																																																																							
22552																																																																																							
22730																																																																																							
23456																																																																																							
23504																																																																																							
23643																																																																																							
23755																																																																																							
24006																																																																																							
24378																																																																																							
24659																																																																																							
24949																																																																																							
25357																																																																																							
25647																																																																																							
26457																																																																																							
26765																																																																																							
27070																																																																																							
27548																																																																																							
27614																																																																																							
27847																																																																																							
28013																																																																																							
28152																																																																																							
28675																																																																																							
28732																																																																																							
29476																																																																																							
29636																																																																																							
29878																																																																																							
30052																																																																																							
30502																																																																																							
30650																																																																																							
30810																																																																																							
31134																																																																																							
31255																																																																																							
31657																																																																																							
31826																																																																																							
31835																																																																																							
32234																																																																																							
32766																																																																																							
32971																																																																																							
33147																																																																																							
33259																																																																																							
33370																																																																																							
33839																																																																																							
33857																																												0	0	147047	1741	0	0	0	0	459097	5046	0	0	0	0	234277	2774	0	0	12	3	193087	1891	0	0	0	0	0	0	0	0	0	0	10060	101	0	0	0	12	3	1043568	11553	0	0	
34434																																																																																							
34537																																																																																							
34555																																																																																							
34742																																																																																							
35057																																																																																							
35301																																																																																							
35646																																																																																							
35879																																																																																							
36456																																																																																							
36933																																																																																							
37051																																																																																							
37341																																																																																							
37435																																																																																							
37640																																																																																							
37659																																																																																							
37949																																																																																							
38740																																																																																							
39327																																																																																							
39756																																																																																							
40033																																																																																							
40499																																																																																							
40855																																																																																							
41553																																																																																							
41629																																																																																							
41825																																																																																							
42037																																																																																							
42354																																																																																							
42372																																																																																							
42420																																																																																							
42448																																												0	0	280549	3451	0	0	3885	0	742307	9157	0	0	206	0	569986	7010	0	0	759	11	273601	3853	0	0	0	0	4066	86	0	0	11	5	40736	933	0	0	1175	4861	16	1911245	25665	0	0	
42457																																																																																							
43052																																																																																							
43351																																																																																							
43856																																																																																							
43959																																																																																							
44040																																																																																							
44433																																																																																							
44741																																																																																							
44750																																																																																							
44929																																																																																							
45038																																																																																							
45047																																																																																							
45056																																																																																							
45430																																																																																							
45458																																																																																							
45551																																																																																							
45560																																												0	0	258459	2134	0	0	689	0	631188	6321	0	0	1637	145	530253	4603	0	0	128	20	187124	1992	0	0	0	0	0	0	0	0	102	31	23923	198	0	0	0	2556	196	1630947	15248	0	0	
45775																																																																																							
46053																																																																																							
46941																																																																																							
47247																																																																																							
47256																																																																																							
47452																																																																																							
47500																																																																																							
48057																																																																																							
48150																																																																																							
48374																																																																																							
48440																																																																																							
49054																																																																																							
49148																																																																																							
49241																																																																																							
49652																																																																																							
49858																																																																																							
49951																																																																																							
50144																																																																																							
50461																																																																																							
51253																																																																																							
51356																																																																																							
51459																																																																																							
51842																																																																																							
52719																																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52951																																																																																							
53051																																																																																							
54058																																																																																							
54656																																												0	0	28227	434	0	0	1292	0	109234	1678	0	0	21	0	45240	695	0	0	778	27	85233	1309	0	0	0	0	0	0	0	0	7	0	13064	201	0	0	0	2098	27	280998	4317	0	0	
54973																																																																																							
55336																																																																																							
55635																																																																																							
55653																																																																																							
55970																																																																																							
56258																																																																																							
56351																																												0	0	435684	3896	0	0	627	213	859333	11766	0	0	0	0	720351	4962	0	0	1026	726	313040	5055	0	0	0	0	0	0	0	0	0	0	101138	2029	0	0	0	1653	939	2429546	27708	0	0	
56548																																																																																							
56717																																																																																							
57040																																																																																							
57451																																																																																							
58225																																																																																							
58243																																												0	0	429997	8680	0	0	3783	645	1179334	16995	0	0	2997	74	1718987	20871	0	0	572	300	1033064	23509	0	0	0	0	16683	209	0	0	0	0	67783	933	0	0	5052	7352	1019	4445848	76249	0	0	
58355																																																																																							
58551																																																																																							
58636																																																																																							
58757																																																																																							
58971																																												0	0	615316	17277	0	0	0	0	2249885	37417	0	0	0	0	1499184	33148	0	0	0	0	1552437	28995	0	0	0	0	12286	375	0	0	0	0	113154	1156	0	0	2471	0	0	6042262	120839	0	0	
59316																																																																																							
59352																																																																																							
59370																																																																																							
59754																																																																																							
60143																																																																																							
60330																																												375	0	85003	652	0	0	650	23	308222	5082	0	0	940	22	156376	2018	0	0	0	0	215753	4774	0	0	0	0	0	0	0	0	4	4	14312	333	0	0	9	1969	49	779666	12868	0	0	
60545																																																																																							
60554																																																																																							
60648																																																																																							
61122																																												357	0	70240	979	0	0	2262	0	456569	6345	0	0	3880	26	440530	3134	0	0	0	0	245662	2845	0	0	0	0	0	0	0	0	0	0	59993	877	0	0	430	6499	26	1272994	14610	0	0	
61355																																																																																							
61476																																																																																							
61757																																																																																							
61832																																																																																							
61953																																																																																							
62044																																																																																							
62110																																																																																							
62147																																																																																							
63050																																																																																							
63069	0	0	3240176	70065	3348	769	51469	0	11610765	93151	27216	2752	7755	0	22698337	86353	848	2	186098	7815	27015892	330089	0	0	0	0	74809	1426	0	0	0	0	679016	6693	1	0	0	245322	7815	65318995	587777	31413	3523																																												
63201																																																																																							
63573																																																																																							
63733																																												715	0	104473	1248	0	0	11719	59	330670	4084	20	12	2073	0	397958	4370	46	8	448	0	81647	1048	0	0	0	0	0	0	0	0	0	0	45611	869	0	0	121	14955	59	960359	11740	66	20	
63742																																																																																							
64150																																																																																							
64552																																																																																							
64730																																																																																							
65205																																																																																							
65513																																																																																							
65559																																																																																							
65858																																																																																							
66154																																																																																							
66275																																																																																							
66677																																																																																							
67142																																																																																							
67151																																																																																							
67209																																																																																							
67254																																																																																							
67656																																												0	0	97171	0	0	0	2473	628	581883	8717	0	0	272	101	92549	3920	0	0	73	25	61088	979	0	0	0	0	203027	41723	0	0	60	16	11079	252	0	0	0	2878	770	1046797	55591	0	0	
67870																																																																																							
68671																																																																																							
68756																																																																																							
68831																																																																																							
69333																																												290	0	113100	1408	0	0	1646	2	493739	6783	0	0	3268	155	281765	4082	0	0	97	0	182700	2153	0	0	0	0	0	0	0	0	52	0	17794	406	0	0	0	5353	157	1089098	14832	0	0	
69678																																																																																							
70218																																																																																							
70414																																																																																							
70638																																																																																							
70955																																																																																							
71073																																																																																							
71457																																																																																							
71859																																																																																							
72258																																																																																							
72351																																																																																							
72454																																																																																							
72678																																																																																							
73116																																																																																							
73152																																																																																							
73554																																																																																							
73956																																																																																							
74056																																																																																							
74140																																												42	7	0	0	0	0	12386	0	559439	659	0	0	4384	444	427908	173	0	0	5206	0	176838	1232	0	0	0	0	0	0	0	0	0	0	77970	961	0	0	6374	22018	451	1242155	9399	0	0	
74403																																												0	0	67862	518	1343	0	0	0	261537	3297	39729	0	928	0	416424	2518	21197	167	0	0	101674	1341	8528	42	0	0	0	0	0	0	186	0	197158	2844	138	0	0	1114	0	1044655	10518	70935	209	
74449																																																																																							
75259																																																																																							
75446																																																																																							
75455																																																																																							
75633	10098	3663	3397095	69520	1359	0	59503	11647	10303256	134513	25978	14877	143006	17372	9364507	14153	1673	3534	175086	27015	68913434	488002	37598	15450	0	0	457703	16095	0	0	17527	435	7921648	30184	517	517	0	405220	60132	100357643	752467	67125	34378																																												
75651																																																																																							
76153																																																																																							
76443																																																																																							
76854																																																																																							
77150																																																																																							
77253																																																																																							
77422																																																																																							
77851																																												138	0	384696	3012	0	0	16976	0	1323331	17585	0	0	143	0	371605	2835	7	0	3949	7	1004069	14390	0	0	0	0	9359	109	0	0	0	0	31189	130	0	0	0	21206	7	3124249	38061	7	0	
78157																																																																																							
78241																																																																																							
78559																																																																																							
79042																																																																																							
79127																																																																																							
79145																																																																																							
79257																																																																																							
79855																																																																																							
80150																																																																																							
80374																																																																																							
80431																																																																																							
81175																																																																																							
82033																																																																																							
82257																																																																																							
82350																																																																																							
83151																																																																																							
83375																																																																																							
83638																																																																																							
83834																																																																																							
83852																																																																																							
83955																																																																																							
84046																																																																																							
84541																																																																																							
85052																																																																																							
85472																																																																																							
85931																																																																																							
86349																																																																																							
86675																																																																																							
87047																																																																																							
87159																																																																																							
87234																																																																																							
87476																																																																																							
87579																																																																																							
88231																																																																																							
88259																																																																																							
88352																																																																																							
88455																																																																																							
88950																																																																																							
89032																																																																																							
89135																																																																																							
89854																																																																																							
89957																																																																																							
90047																																																																																							
90177																																																																																							
90328																																																																																							
90337																																																																																							
90579																																																																																							
91615																																																																																							
91754																																																																																							
91950																																																																																							
92144																																																																																							
92676																																																																																							
92706																																																																																							
92902																																																																																							
93244																																																																																							
93543																																																																																							
93619																																																																																							
94139																																																																																							
94522																																																																																							
94755																																																																																							
94858																																																																																							
95051																																																																																							
95677																																																																																							
96553																																																																																							
97055																																																																																							
97279																																																																																							
97457																																																																																							
97804																																																																																							
97943																																																																																							
98351																																																																																							
98463																																																																																							
98717																																																																																							
99143																																																																																							
99376																																												0	0	12834	165	0	0	159	0	300646	4482	0	0	4232	17	1424822	8036	41574	0	2185	145	659827	6058	0	0	0	0	0	0	0	0	0	0	49594	891	0	0	0	6576	162	2447723	19632	41574	0	
99442																																																																																							
99536																																																																																							
99853																																																																																							
100236																																																																																							
100357																																																																																							
100562																																																																																							
100777																																																																																							
100843																																																																																							
101037																																																																																							
101439																																																																																							
101671																																												0	0	25425	0	0	0	2762	89	135561	1649	0	0	746	0	298334	721	0	0	1241	0	111326	602	0	0	0	0	0	0	0	0	308	22	6257	449	0	0	985	5057	111	576903	4406	0	0	
101738																																																																																							
101952																																																																																							
102333																																																																																							
102342																																																																																							
102557																																																																																							
102874																																																																																							
103134																																																																																							
104234																																																																																							
104542																																																																																							
104971																																																																																							
105026																																																																																							
105473																																																																																							
105530																																																																																							
106359																																												0	0	143804	1930	0	0	6867	0	875606	13559	0	0	761	0	238124	3010	0	0	1400	500	190840	2269	0	0	0	0	895	0	0	0	221	0	280353	2230	0	0	1596	9249	500	1729622	24594	0	0	
106452																																																																																							
106676																																																																																							
107244																																																																																							
107570																																																																																							
107758																																																																																							
108072																																																																																							
108269																																																																																							
108652																																																																																							
108746																																																																																							
108951																																																																																							
109136																																																																																							
109154																																																																																							
109453																																																																																							
109574																																																																																							
109659																																																																																							
110413																																												0	0	4263	54	0	0	1397	569	176379	2733	0	0	0	0	70970	327	0	0	0	0	112636	1842	0	0	0	0	2294	115	0	0	0	0	1488	12	0	0	0	1397	569	368030	5083	0	0	
110936																																																																																							
110945																																																																																							
110972																																																																																							
111157																																																																																							
111205																																																																																							
111942																																																																																							
111979																																																																																							
