"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														35	0	13	0	0	0	0	0	22	0	0	0	0	0				
242														39	0	0	0	0	0	0	0	39	0	0	0	0	0				
279														2957	0	2040	0	80	745	0	0	215	702	0	184	0	415	ATM Settlement			
354														463	0	52	0	0	0	0	0	41	370	0	0	0	0				
457														198	0	0	0	0	0	0	0	24	174	0	0	0	0				
505														9796	0	4042	782	0	2230	0	0	101	4778	93	0	0	0	Deferred Service Fee - FCC			
1155														2479	0	1470	0	0	0	0	0	76	933	0	1348	0	122				
1351														432	0	85	0	0	0	0	0	293	54	0	0	0	0				
1454														1246	0	1120	0	0	0	0	0	68	58	0	1120	0	0				
1669														1204	0	1009	0	0	0	0	0	195	0	0	294	0	0				
1856														38	0	29	0	0	0	0	0	4	5	0	0	0	0				
2161														6264	0	5522	0	0	2241	0	0	27	715	0	1782	0	1497	sba PPP overage			
2732														2841	0	2123	0	0	0	0	0	345	373	0	0	0	1906				
2750														836	128	520	0	0	100	0	0	18	288	10	291	0	0	PYMT DUE TO LOAN PARTICIPATION BANK			
3252														436	0	0	0	0	0	0	0	108	328	0	0	0	0				
3458														231	0	18	0	0	0	0	0	88	125	0	0	0	0				
3720														2698	0	1	0	0	0	0	0	39	2658	0	0	0	0				
3971														8618	0	3750	0	0	0	0	0	964	3654	250	2254	0	0	Unearned revenues	Deferred Compensation		
4156														615	0	431	0	0	145	143	0	155	29	0	0	0	0	Executive Deferred Incentive	Acc Pay-Officer Incentive		
4231														291	0	0	0	0	0	0	0	123	168	0	0	0	0				
5069														4439	0	1747	0	1519	0	0	0	787	1412	493	0	0	0				
5135														2578	0	1056	0	0	0	0	0	216	1306	0	1056	0	0				
5210														14882	0	10816	0	0	0	3474	0	51	3923	92	4145	0	0		Deferred Director's Fees		
5461														8732	0	7320	0	0	0	0	0	11	1219	182	5310	0	0				
5751														1650	0	1494	0	0	763	0	0	59	97	0	710	0	0	Post Retirement Benefits Payable			
6039														2262		638	0					232	1392	0			344				
6329														7110		5348	0	664				267	1495	0	3574		1002				
7009														14043	0	839	0	230	609	0	0	900	12304	0	0	0	0	Collateral Received on Interest Rate Swap Exposure			
7045														528	0	0	0	0	0	0	0	36	492	0	0	0	0				
7072														4698	0	3292	0	0	0	0	0	8	1398	0	2544	0	0				
7456														253	0	147	0	0	0	0	0	25	81	0	0	0	0				
7634														208	0	0	0	0	0	0	0	56	152	0	0	0	0				
8033														4623	0	4211	0	46	13	0	0	325	87	0	4152	0	0	All Other Liabilities			
8462														254	0	0	0	0	0	0	0	249	0	5	0	0	0				
8631														855	0	769	0	0	0	0	0	29	57	0	769	0	0				
9357														8390	0	6349	0	1	0	0	0	18	2023	0	2952	0	0				
9553														1361	0	0	0	0	0	0	0	59	1302	0	0	0	0				
9807														13062		6094	0					647	5583	738			4760	0	0		
9955														398	0	0	0	0	0	0	0	41	357	0	0	0	0				
10250														2269	0	993	0	0	0	0	0	135	1141	0	893	0	0				
10849														696	0	31	0	13	0	0	0	104	561	0	0	0	0				
11145														3697		612	0		537	75		68	3017	0				Great Lakes Capital Fund	Differed Revenue		
11640														2358	0	1714	0	0	0	0	0	196	448	0	1714	0	0				
11837														133	0	60	0	0	0	0	0	26	47	0	0	0	0				
12030														5553	0	5150	0	2037	2299	0	0	158	245	0	814	0	0	Deferred Gain on Sale of ORE per Gap			
12142														4748	0	4638	0	0	0	0	0	110	0	0	3988	0	0				
12311	3525885	0	2660779	25478	1405435	0	0	0	646305	149821	0	0	0									43502									
