"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADFT29	RIADFT30	RIADFT31	RIADFT32	RIADJJ26	RIADJJ27	RIADJJ28	RIADKW17	RIADT047	RIADY923	RIADY924	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	TEXTFT29	TEXTFT31	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	BK CARD CR CARD INTERCHANGE FEE	ACCOUNTING AND AUDITING EXPENSES	CONSULTING AND ADVISORY EXPENSE	ATM AND INTERCHANGE EXP	TELECOMMUNICATIONS EXP	DISCONTINUED OPERATIONS AND APPLICAB	DIS OPS APP TAX EFFECT 1	DIS OPS APP INCOME TAX EFFECT	DIS OP APP TAX EFFECT 2	Adoption of Current Expected Credit 	Initial allowances for credit losses	Effect of adoption of current expect	Effect of adoption of lease accounti	INCOME AND FEES FROM WIRE TRANSFERS	OTHER REAL ESTATE OWNED EXPENSES	INSURANCE EXPENSES NOT EMPLOY EXPENS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	DISCONTINUED OPERATIONS AND APPLICAB	DIS OPS APP INCOME TAX EFFECT	
37	0	0	0	0	CONF	168	0	0	194	670	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	NETWORK FEE INCOME			REG SALARIES	OFF SALARIES											
242	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
279	17	0	383	27	CONF	0	0	0	97	399	62	42	42	0	0	false	81	0	0	28	105	25	897	838	92	0	171	0	47	51	0	0	0	0					0	0	0				Dues and Subscriptions	Technology	State Use Sales Tax	Additional Paid in Capital Stock Options	Additional Paid in Capital Stock Awards								
354	555	0	0	0	CONF	0	0	0	182	-1812	0	5218	0	0	0	false	0	0	0	0	0	0	0	198	0	0	0	162	0	0	0	0	0	0					0	0	0				Mortgage Production Fees	Net Gain/Loss derivative		Capital injection									
457	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0					0	0	0	0															
505	0	0	0	0	CONF	286	0	0	587	0	0	0	0	0	0	false	0	0	0	0	139	0	0	1047	0	819	0	0	443	0	0	0	0	0					0	0	0	Other Misc. Income			Insurance Expense												
1155	1041	0	145	71	CONF	0	0	0	135	0	0	0	0	0	0	false	0	0	0	0	151	0	0	2076	171	1413	59	0	79	0	0	0	0	0				0	0	0	0				Correspondent Bank Charges												
1351	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	244	0	0	0	0	0	102	115	0	0	0	0					0	0	0																
1454	797	0	0	0	CONF	405	0	0	798	0	0	0	0	0	0	false	530	0	0	0	0	0	0	581	0	3363	0	0	1301	0	0	0	0	0					0	0	0	MISC LOAN SERVICE FEES			ONLINE BANKING EXPENSE												
1669	58	0	156	14	CONF	0	0	0	0	0	0	0	0	0	0	false	30	0	0	14	338	32	0	985	64	1125	82	0	369	55	0	0	0	0					0	0	0																
1856	16	0	66	0	CONF	0	0	0	0	0	0	0	0	0	0	false	9	0	0	0	0	2	46	16	15	0	13	73	0	21	0	0	0	0					0	0	0																
2161	0	0	0	0	CONF	0	0	0	0	0	0	3400	0	0	0	false	0	158	0	0	219	0	0	1184	0	702	174	0	341	223	0	0	0	0					0	0	0							capital infusion from holding company					accounting errors identified in prior year audit				
2732	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	848	0	0	266	0	0	0	0	0	0	0				-18	0	0	0																
2750	46	0	66	4	CONF	0	0	0	0	0	0	0	0	0	0	false	5	0	0	1	58	3	50	180	12	0	22	55	62	14	0	0	0	0					0	0	0																
3252	0	0	0	0	CONF	1181	0	0	372	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0					0	0	0	Fee income/ One way sell			Computer Exp- In House												
