"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																					41	1743	2616		237				595					0		0	0	0				
242																					204	0	499		0				295					0		0	0	0				
279																					2674	2116	12521		249				1332					0		6150	0	0				
354																					430	341	1292		332				189					0		0	0	0				
457																					426	0	890		81				383					0		0	0	0				
505																					5609	2000	20434		5232				2373					0		5220	0	0				
1155																					997	0	10608		937				2473					0		6201	0	0				
1351																					238	0	2353		401				1714					0		0	0	0				
1454																					1443	0	17620		3708				4182					0		8287	0	0				
1669																					837	2562	20436		535				2289					0		13298	0	915				
1856																					222	0	605		86				297					0		0	0	0				
2161																					1468	4026	16290	297	1104	787			1284					0		8408	0	0	investment in partnership			
2732																					1140	1532	7055		2064				2319					0		0	0	0				
2750																					238	0	3876		226				821					0		2591	0	0				
3252																					643	0	4337		883				2811					0		0	0	0				
3458																					382	372	2851		190				516					0		1391	0	0				
3720																					326	2598	14242		313				1020					0		7081	0	2904				
3971																					4915	6362	37848		6994				4589					0		14988	0	0				
4156																					439	266	8877		474				1088					0		5505	0	1105				
4231																					0	1243	6510		264				542					0		4461	0	0				
5069																					0	556	9109		6632				1921					0		0	0	0				
5135																					1285	1366	15547		887				4875					0		7134	0	0				
5210																					2552	19503	127741		20354				6897					0		71901	0	6534				
5461																					4516	999	19878		2384				2505					0		9474	0	0				
5751																					410	533	8977		396				1906					0		3824	368	1540				
6039																					249	1017	7057	623	1589	557			2083					0		2119	0	0	Annuity Asset			
6329																				841	1004	10506	38254	733	3416				5910		105			0		14559	0	2859				
7009																					0	176	15416		12303				2937					0		0	0	0				
7045																				0	669	4471	6602	281	328	0	0	0	1134	0	0	0	0	0	0	0	0	0				
7072																					3508	2438	20989		4432				1695					0		8916	0	0				
7456																					580	0	4461		351				1722					0		1808	0	0				
7634																					81	0	928		343				504					0		0	0	0				
8033																					1825	979	6975		230				2195					0		1746	0	0				
8462																					21	0	846		9				816					0		0	0	0				
8631																					343	719	4012		96				215					0		2639	0	0				
9357																					789	0	5869		3057				2023					0		0	0	0				
9553																					2979	0	9321		410				1926					0		2984	0	1022				
9807																					9324	0	164884		9406	8035			12956					0		38475	94723	0	SECURITY PRINCIPAL RECEIVABLE			
9955																					2779	182	3881		9				911					0		0	0	0				
10250																					2878	0	6080		924				1918					0		360	0	0				
10849																					508	1430	3721		593				1190					0		0	0	0				
