"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							4360	1617	50973	0	0	224	26	2616	80558	68896	103	68999	0	956	0	0	11559	1200	80558	0	0	12247	0	0	3500	0	22032	46864	1a	0331	0	21698	20742	-5388	0	0	0	0	11559	0	0	
242																																							2850	1390	19178	0	0	523	0	499	54405	48068	57	50968	0	179	2843	0	3437	120	54405	0	0	5312	0	0	120	0	13797	34271	4	1231	0	28060	27881	-2115	2084	0	0	0	3437	0	0	
279																																							2603	4939	98736	0	371	7659	0	12521	417610	310596	2859	375787	0	2859	62332	0	41823	1	417610	0	0	31838	0	0	15463	0	57504	253092	1a	1231	0	262738	259879	-5479	1906	0	0	0	41823	0	28996	
354																																							1700	1069	964	0	0	550	0	1292	57634	41401	540	50784	0	594	8843	0	6850	100	57634	0	0	-494	0	0	7267	1107	6682	34719	4	1231	0	45638	45044	-23	5908	0	0	0	6850	0	0	
457																																							993	1675	1413	0	0	321	31	890	72134	58508	207	66040	0	747	7325	0	6094	60	72134	0	0	2189	0	0	3940	0	12466	46042	4	1231	0	67306	66559	-95	242	0	0	0	6094	10	0	
505																																							9083	6324	80370	0	1808	10071	0	20434	765513	665633	9047	699680	53	7758	25000	0	65780	6480	765513	0	0	44181	0	0	18403	0	173115	492518	2a	1231	0	645181	637423	-3284	0	0	0	0	65833	0	0	
1155																																							15317	11959	66483	0	9340	7274	120	10608	460358	411666	2451	414117	0	4686	0	0	46241	1600	460358	0	0	26385	0	0	23696	0	67728	343938	5	1231	0	337066	332380	-5440	6877	0	0	0	46241	0	0	
1351																																							9806	4183	14099	0	0	4266	72	2353	208186	177965	840	178805	0	1255	0	0	29381	240	208186	0	0	29427	0	0	530	0	31969	145996	5	1231	0	106814	105559	-816	0	0	0	0	29381	0	67848	
1454																																							24769	10401	486173	0	0	3983	0	17620	980243	920318	4837	925155	0	5759	0	0	55088	1000	980243	0	0	120692	0	0	1214	631	337602	582716	2b	1231	0	442317	436558	-67818	0	0	0	0	55088	108	0	
