"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														103		63	0					40	0	0							
242														57		3	0					54	0	0							
279														2859		1820	0					318	460	261							
354														540		60	0					92	319	69							
457														207		0	0					42	165	0							
505														9047		3892	771					116	4175	93							
1155														2451		1451	0					151	849	0							
1351														840		97	0					598	145	0							
1454														4837		4618	0					74	145	0							
1669														1231		903	0					309	19	0							
1856														59		28	0					24	7	0							
2161														6318		5460	0		2242			45	813	0	1746		1471	SBA PPP Overage			
2732														4528		2496	0					1036	996	0							
2750														641		413	0					42	176	10							
3252														309		1	0					163	145	0							
3458														189		16	0					109	64	0							
3720														2722		1	0					86	2585	50							
3971														9349		4949	0					1533	2632	235							
4156														1024		461	0					274	77	212							
4231														378		0	0					142	236	0							
5069														6388		2095	0					1135	2569	589							
5135														3377		1948	0					403	1026	0							
5210														19964		11351	0					52	6550	2011							
5461														8439		6988	0					33	1236	182							
5751														1795		1483	0					126	186	0							
6039														3234		1214	0					365	1655	0			344				
6329														10907		5310	0	655				696	3684	1217	3639		924				
7009														11827		823	0					1056	9948	0							
7045														673	0	0	0	0	0	0	0	64	609	0	0	0	0				
7072														4433		3097	0					27	1278	31							
7456														310		155	0					62	93	0							
7634														305		0	0					131	129	45							
8033														5474		4303	0					565	606	0							
8462														759		26	0					688	0	45							
8631														924		764	0					44	116	0							
9357														7025		5899	0					60	991	75							
9553														1396		0	0					142	1254	0							
9807														11786		5562	0					1827	3659	738			4620	0	0		
9955														380		0	0					55	325	0							
10250														2280		1531	0					265	474	10							
10849														803		60	0					164	579	0							
11145														3665		527	0		459	68		243	2895	0				Great Lakes Capital Fund	Differed Revenue		
11640														2912		1681	0					342	889	0							
11837														269		80	0					36	127	26							
12030														5399		4715	0					268	416	0							
12142														2311		2006	0					166	139	0							
12311	3318492	0	2550926	29982	1447186	0	0	0	518083	157128	0	0	0									62373									
12647														272		35	0					165	72	0							
12656														10		0	0					7	3	0							
12946														17606		12253	0					642	4711	0							
13103														40366		34082	0		15839	11221		993	5276	15			4354	Defined Benefit Retirement Plan Liability	Fair value - swaps		
13251														144		133	0					11	0	0							
13457														207		184	0					5	18	0							
14155														1224		198	0					241	785	0							
14650														402		288	0					12	102	0							
14753														137		0	0					54	83	0							
14865														7225		5874	0					106	1220	25							
14977														146	0	13	0	13	0	0	0	43	90	0	0	0	0				
16551														2490		1650	0					404	217	219							
17110														21805		10617	0					635	10473	80			10477				
17147														193046	0	103948	0	0	0	0	0	5917	59881	23300	0	73914	0				
17259														1664		1443	0					52	169	0							
17950														2875		1545	0					519	650	161							
17978														130		32	44					8	46	0							
18050														5003		2749	0					443	1663	148							
18827														16153		10574	0					589	3075	1915							
18836														2259		1120	0					70	1069	0							
18854														11644		5456	0		1464			655	5033	500				Dividends Payable			
19356														681		491	0					112	78	0							
19936														2706		2195	0					175	11	325							
19972														1476		1370	0					1	30	75							
20053														321		0	0					162	159	0							
20633														2386		1896	0					131	266	93							
20857														1264		569	0					451	100	144							
21256														19		12	0					6	1	0							
21359														217		154	0					13	50	0							
21658														1494		1070	0					132	292	0	948						
22048														2087		1440	0					242	260	145							
22543														2366		785	370					40	1005	166							
22552														207		0	0					116	91	0							
22730														472		235	0					4	211	22							
23456														831		2	0					482	347	0				Federal Interest Withholding			
23504														124313	0	68314	0	0	0	0	0	4723	48446	2830	0	0	59757				
23643														533		116	0					245	41	131							
23755														1664		979	0					41	644	0							
24006														15022		12755	0					282	648	1337							
24378														466		317	0					1	148	0							
24659														416		332	0					25	59	0							
24949														3956		2904	0					351	701	0							
25357														1122		0	0					426	346	350							
25647														1958		818	0	818				498	642	0				Unearned SBA Fees	AP Loans		
26765														39138		13884	0					942	13017	11295							
27070														4116		1410	0					736	1813	157							
27548														8072		885	0					384	6803	0							
27614														2120		1216	0					288	605	11							
27847														3864		2269	0					476	1119	0							
28013														27993		17915	0					2042	7134	902							
28152														1996		1932	0	60				32	32	0	899	906					
28675														608		3	0					253	352	0							
28732														1425		961	0					73	259	132							
29476														861		259	0					108	159	335							
29636														14463		10300	0					630	2897	636							
29878														37182		37099	0	10594	57	6112		0	83	0	20335			Abandoned Property	Minimum Liability Pension		
30052														206		62	14					1	129	0							
30502														12417		8613	0					470	2998	336							
30650														1434		753	0					45	636	0							
30810	4638264	0	1229643	0	0	1089373	0	0	3164769	9000	0	0	0									234852						Payment Services			
