"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																			0	57	2191	3018	0	195	0	0	0	575	0	0	0	0	0	0	0	0				
242																			0	204	0	572	17	17	0	0	0	351	0	0	0	0	0	0	0	0				
279																			0	3504	2358	14304	328	476	0	0	0	1728	115	0	21	0	0	6238	0	0				
354																			0	382	681	1934	138	314	0	0	0	557	0	0	170	0	0	0	0	0				
457																			0	475	0	1112	0	110	0	0	0	527	0	0	0	0	0	0	0	0				
505																			0	6795	1649	22653	0	6123	3062	0	0	2760	0	0	0	0	0	5326	0	0	Pension Asset			
1155																			0	1019	0	12724	285	394	0	11	0	3108	0	0	0	0	0	8203	0	0		NA		
1351																			0	119	0	2283	263	346	0	0	0	1818	0	0	0	0	0	0	0	0				
1454																			0	1391	0	17536	1197	3482	889	0	0	4206	0	0	1034	0	0	8457	0	0	FISERV SETTLEMENT DEPOSIT			
1669																			14	870	2720	21853	493	527	0	0	0	2647	0	0	0	0	0	14165	0	924				
1856																			0	229	0	717	26	51	0	0	0	437	0	0	0	0	0	0	0	0	0			
2161																				3083	3924	19559	536	2343	1262			1626					0	8583	0	0	Right of Use Asset			
2732																			0	1369	1316	7862	0	2777	1834	0	0	2400	0	0	0	0	0	0	0	0	Right To Use - Lease			
2750																			0	583	0	4833	279	279	0	0	0	1329	0	0	0	0	0	2642	0	0				
3252																			0	657	0	5669	834	1528	521	0	0	3484	0	0	0	0	0	0	0	0	NP DDA Debits			
3458																			0	218	445	2668	125	154	0	0	0	431	0	0	0	0	0	1420	0	0				
3720																			0	306	2543	14913	490	500	0	0	0	1352	0	0	0	0	0	7269	0	2943				
3971																			466	2401	5781	35516	745	7213	4408	0	0	4876	0	46	1220	0	0	15245	0	0	Total A/R from Holding Co or affiliate	Due from parent and affiliates - net		
4156																			0	991	268	10187	453	606	0	0	0	1590	0	0	0	0	0	5612	0	1120				
4231																			0	0	1468	6875	93	196	0	0	0	647	0	55	0	0	0	4564	0	0				
5069																			0	0	552	9327	1963	6407	0	0	0	2368	0	0	4444	0	0	0	0	0				
5135																			20	1421	1498	19059	636	802	0	0	0	8033	0	0	0	0	0	7305	0	0				
5210																			0	9677	16018	139042	0	25396	14933	0	0	8080	0	0	0	0	0	73270	0	6601	Prepaid Pension			
5461																			0	4516	870	20378	979	2173	800	0	0	3178	0	0	0	0	0	9641	0	0	CRA Investment			
5751																			0	596	507	9080	284	432	107	0	0	2481	0	0	0	0	0	3508	0	1556	Receivable from Bond Security			
6039																				325	970	7987	584	1530	561			2997					0	2165	0	0	Annuity Asset			
6329																			838	2520	11390	46251	2598	6353	765			8133		65			0	14969	0	2886	UNPOSTED DEBITS			
7009																			0	0	976	11586	3642	7480	0	0	0	3130	0	0	3385	0	0	0	0	0				
7045																				669	3960	6479	273	370				1480					0	0	0	0				
7072																			0	2841	2249	20997	672	4959	2649	575	0	1878	0	0	5	0	0	9070	0	0	Deferred Compensation	Deferred Commissions		
7456																			0	1066	0	5262	0	493	384	0	0	1858	0	0	0	0	0	1845	0	0	Prepaid Health Insurance			
7634																			0	98	0	1139	233	350	117	0	0	691	0	0	0	0	0	0	0	0	Late fees receivable			
8462																			0	21	0	1489	0	10	0	0	0	1458	0	0	0	0	0	0	0	0				
8631																			0	347	590	3940	85	85	0	0	0	229	0	0	0	0	0	2689	0	0				
9357																			0	395	0	4766	985	2597	1365	0	0	1774	0	0	0	0	0	0	0	0	Suspense Acct			
9553																			0	3438	0	12248	465	574	109	0	0	4153	0	0	0	0	0	3041	0	1042	Nebraska Fund XV Investment			
9807																				8150	0	156409	1320	1773				10819					0	38857	96810	0				
9955																			0	3079	133	4388	59	106	0	0	0	1070	0	0	0	0	0	0	0	0				
10250																			0	2406	0	6490	618	919	0	0	0	2798	0	283	0	0	0	367	0	0				
10849																			0	685	1697	4340	285	551	206	0	0	1407	0	59	0	0	0	0	0	0	FAS 91 Deferred Asset			
11145																				1590	4692	19790	1493	3839	984	1121		1706	241				0	6831	0	1132	Marble Cliff Capital	Great Lakes Capital Fund		
11640																			0	3014	4038	26499	527	2310	0	0	0	5526	0	0	0	0	0	11611	0	0				
11837																			0	139	1992	2732	0	119	0	0	0	482	0	0	0	0	0	0	0	0				
12030																			0	20247	4535	30413	197	509	166	145	0	3655	0	0	0	0	0	1467	0	0	Securities Paydown Receivable	Prepaid Federal Income Tax		
12142																			0	763	3132	13239	250	1644	0	0	0	1857	0	22	0	0	0	3059	0	2784				
