"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														87	0	19	0	0	0	0	0	68	0	0	0	0	0				
242														93	0	0	0	0	0	0	0	88	0	5	0	0	0				
279														4227	0	2309	0	84	741	55	137	551	1139	228	698	0	355	ATM Settlement	ESOP Payable	Other Liabilities	
354														595	0	24	0	0	0	0	0	130	378	63	0	0	0				
457														458	0	0	0	0	0	0	0	125	333	0	0	0	0				
505														10744	0	4545	868	0	2710	0	0	710	4528	93	0	0	0	Deferred Service Fee - FCC			
1155														2775	0	1516	0	0	0	0	0	402	857	0	1445	0	0				
1351														1077	0	89	0	0	0	0	0	912	76	0	0	0	0				
1454														5254	0	3685	0	0	943	0	0	204	836	529	2086	0	0	FISERV SETTLEMENT ACCOUNT			
1669														1985	0	1125	0	0	0	0	0	860	0	0	100	0	0				
1856														106	0	49	0	0	0	0	0	50	7	0	0	0	0				
2161														6361		5297	0		2242			176	888	0	1741		1314	SBA PPP Overage			
2732														4446	0	2063	0	0	0	0	0	2066	317	0	0	0	1897				
2750														939	106	478	0	0	5	0	0	76	375	10	366	0	0	PYMT DUE TO LOAN PARTICIPATION BANK			
3252														1243	0	9	0	0	0	0	0	657	577	0	0	0	0				
3458														333	0	30	0	0	0	0	0	221	82	0	0	0	0				
3720														3083	0	1	0	0	0	0	0	310	2722	50	0	0	0				
3971														11151	0	3300	0	0	607	0	0	4238	3505	108	2236	0	241	Unearned revenues	Deferred Compensation		
4156														1734	0	669	0	96	145	338	0	831	22	212	0	0	0	Executive Deferred Incentive	DEFERRED MASTERCARD		
4231														441	0	0	0	0	0	0	0	298	111	32	0	0	0				
5069														6551	0	1468	0	1292	0	0	0	2660	1471	952	0	0	0				
5135														3360	0	1102	0	0	0	0	0	972	1286	0	1088	0	0				
5210														24022	0	15895	0	0	0	0	0	255	6153	1719	0	0	0				
5461														9137	0	7304	0	0	0	0	0	114	1537	182	5606	0	0				
5751														1817	0	1513	0	0	754	0	0	178	126	0	708	0	0	Post Retirement Benefits Payable			
6039														3979		975	0					1798	1206	0			317				
6329														10178		5822	0	788				1493	1646	1217	3842		1071				
7009														8933	0	784	0	0	640	0	0	947	7202	0	0	0	0	Collateral Received on Interest Rate Swap Exposure			
7045														730		0	0					140	590	0							
7072														4492	0	3196	0	0	0	0	0	32	1233	31	2648	0	255				
7456														436	0	182	0	0	0	0	0	162	92	0	0	0	0				
7634														371	0	0	2	0	0	0	0	187	137	45	0	0	0				
8462														780	0	58	0	0	0	0	0	712	0	10	0	0	0				
8631														858	0	747	0	0	0	0	0	80	31	0	747	0	0				
9357														8474	0	6387	0	0	0	0	0	76	1974	37	3021	0	0				
9553														1558	0	0	0	0	0	0	0	245	1313	0	0	0	0				
9807														21910		5463	0					5317	10392	738			4270	0	0		
9955														633	0	0	0	0	0	0	0	111	522	0	0	0	0				
10250														2741	0	1273	0	0	0	0	0	1023	435	10	970	0	0				
10849														1417	0	554	0	31	0	0	0	237	358	268	0	0	0				
11145														2690		158	0		111	47		391	2141	0				Great Lakes Capital Fund	Differed Revenue		
11640														2741	0	1756	0	0	0	0	0	762	223	0	1756	0	0				
11837														193	0	28	0	0	0	0	0	71	68	26	0	0	0				
12030														5662	0	3075	0	2079	0	0	0	921	250	1416	996	0	0				
12142														2776	0	1746	0	0	639	0	0	1030	0	0	1096	0	0	SERP Liability			
12311	3972515	0	3061298	7940	1442147	0	0	0	640627	144509	0	0	0									118141									
12647														509	0	147	0	0	0	0	0	264	98	0	0	0	0				
12946														21311	0	12195	0	0	0	0	0	1308	6988	820	8383	0	0				
13103														40916		32037	0		14092	10357		2550	6319	10				Defined Benefit Retirement Plan Liability	Fair value - swaps		
13251														173	0	92	0	0	5	2	0	81	0	0	0	0	0	Deferred Gain on sale of ORE	Accrued Employee  B&P	Deferred PPP Income	
13457														186	0	0	111	0	0	0	0	44	31	0	0	0	0				
14155														2886	0	1297	0	0	600	0	0	713	862	14	691	0	0	Deferred Mastercard contract incentive			
14650														465	0	284	0	0	0	0	0	34	104	43	276	0	0				
14753														238	0	0	0	0	0	0	0	128	110	0	0	0	0				
14865														9173	0	6461	0	0	0	0	0	187	2500	25	1932	0	624				
14977														244		0	0					162	82	0							
16551														1105	0	163	0	29	0	0	0	553	170	219	0	0	0	Deferred PPP Loan Fees			
17110														19939		9714	0					834	9321	70			9460				
17147														206529	0	108537	0	0	0	0	0	12394	66098	19500	0	79008	0				
17259														1644	0	1395	0	0	0	0	0	91	158	0	1395	0	0				
17950														2863	0	1563	0	0	0	0	0	716	423	161	1435	0	0	ATM/EFT Settlement			
17978														512	0	290	0	36	138	116	0	17	205	0	0	0	0	Unearned Loan Fees (FASB 91)	Other Liabilities		
18050														7472	2416	4670	0	352	0	0	0	1010	1662	130	879	0	0				
18827														23699	0	15358	0	0	0	0	0	1387	4869	2085	0	13167	2164				
18836														2393	0	1100	0	0	0	0	0	125	1168	0	881	0	0				
18854														9949		7261	0		1932			1402	822	464				Dividends Payable			
19356														976	0	596	0	0	177	0	0	161	131	88	395	0	0	Insurance check holdings			
19936														2702	0	2028	0	0	0	0	0	344	12	318	1809	0	0				
19972														1362	0	1316	0	0	991	324	0	1	2	43	0	0	0	Accrued Exp Life Insurance	Accrued life insurance expense- death benefit		
20053														709	250	250	0	0	0	0	0	325	134	0	0	0	0	Unrealized interest AR			
20633														2152	0	1571	0	0	0	0	0	276	270	35	1127	0	0				
20857														2320	0	527	0	153	0	0	0	1566	83	144	374	0	0				
21256														10	0	6	0	0	0	0	0	4	0	0	0	0	0				
21359														303	0	171	0	0	0	0	0	80	52	0	0	0	0				
21658														1584		1022	0					302	260	0	888						
22048														3093	0	1537	0	0	0	0	0	559	852	145	1516	0	0				
22543														2510	0	778	764	268	0	0	0	110	657	201	0	0	348				
22552														265	0	0	0	0	0	0	0	229	36	0	0	0	0				
22730														1733	742	1209	0	0	0	0	0	234	268	22	0	0	0				
23456														1077	0	3	0	0	3	0	0	1013	61	0	0	0	0	Fed Withholding			
23504														126687		69124	0					10724	44097	2742			55454				
23643														1098	0	114	0	0	0	0	0	508	365	111	0	0	0				
23755														2718	0	762	0	0	0	0	0	152	1804	0	762	0	0	SBA Deferred Revenue	COMMERCIAL REMITTANCE	CDARS DEFFERED FEE LIABILITIES	
24006														21380	0	16088	0	0	7354	0	0	841	3140	1311	0	0	7907	INTERCOMPANY DUE TO TOTAL			
24378														414	0	217	0	0	0	0	0	4	193	0	0	0	0				
24659														334	0	288	0	0	288	0	0	46	0	0	0	0	0	AGBMP			
24949														4358	0	3158	0	0	0	0	0	547	547	106	3158	0	0				
25357														1285	0	0	0	0	0	0	0	748	187	350	0	0	0				
25647														2328		305	0	305				906	1117	0				Unearned SBA Fees	AP Loans		
26765														45426	0	13348	0	0	0	0	0	3850	21104	7124	0	0	11863				
27070														5949	0	1506	0	0	0	0	0	1846	2453	144	717	0	0	Contract Incentive	Deferred fees		
27614														3336	0	1733	0	0	587	820	0	563	1040	0	0	0	0	Split Dollar Life Insurance	Network Settlement		
27847														4422	0	2621	0	2	64	125	8	959	733	109	2422	0	0	Deferred Income	CDARS Incoming Ratebridge Payment	CDARS One-Way Sell Def Liability	
28013														30793		18909	0					1121	10527	236	17555						
28152														2049		1775	0					67	178	29	949	811					
28675														1031		3	0					831	197	0							
28732														1692	0	928	0	98	821	0	0	291	341	132	0	0	0	Deferred Liabilities			
29476														575	0	158	0	69	0	0	0	196	51	170	0	0	0				
