"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														140	0	31	0	0	0	0	0	48	61	0	0	0	0				
242														79	0	0	0	0	0	0	0	79	0	0	0	0	0				
279														3328	0	1871	0	80	444	149	0	390	825	242	621	0	385	ATM Settlement	ESOP Payable		
354														469	0	5	0	0	0	0	0	100	300	64	0	0	0				
457														217	0	0	0	0	0	0	0	64	153	0	0	0	0				
505														9610	0	4116	826	0	2375	0	0	243	4332	93	0	0	0	DEFERRED SERVICE FEE			
1155														2624	0	1476	0	0	0	0	0	212	936	0	1380	0	96				
1351														1114	0	96	0	0	0	0	0	761	257	0	0	0	0				
1454														5489	0	5158	0	0	0	0	0	104	227	0	2079	0	0				
1669														1547	0	967	0	0	0	0	0	542	38	0	97	0	0				
1856														75	0	28	0	0	0	0	0	36	11	0	0	0	0				
2161														7119		5393	0		2242			58	1668	0	1729		1422	SBA PPP Overage			
2732														5755	451	2601	0	0	0	0	0	1803	1351	0	0	0	1990				
2750														850	111	549	0	0	110	0	0	59	232	10	328	0	0	PYMT DUE TO LOAN PARTICIPATION BANK			
3252														544	0	2	0	0	0	0	0	276	266	0	0	0	0				
3458														258	0	22	0	0	0	0	0	154	82	0	0	0	0				
3720														2691	0	2	0	0	0	0	0	147	2492	50	0	0	0				
3971														9446	0	3616	0	1019	0	0	0	2639	2991	200	0	0	0	Unearned revenues	Deferred Compensation		
4156														1082	0	364	0	348	0	0	0	399	107	212	0	0	0	Executive Deferred Incentive	Acc Pay-Officer Incentive		
4231														374	0	0	0	0	0	0	0	208	166	0	0	0	0				
5069														8549	0	1739	0	1533	0	0	0	1564	4666	580	0	0	0				
5135														3227	0	2466	0	0	0	0	0	663	98	0	1071	0	0				
5210														21134	0	14547	0	0	0	0	0	58	4396	2133	4452	0	0				
