"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
37		0	956	0	4	0	955	3	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
242		0	179	0	1	0	178	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
279		0	2969	196	3	0	1755	10	1025					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-12		
354		0	549	-23	3	0	317	0	252					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6		
457		0	762	13	4	0	745	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
505		0	7853	240	18	0	8347	68	-684					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1155		0	5073	603	247	0	4243	20	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1351		0	1253	121	59	0	1250	191	14					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14		
1454		0	5738	50	16	0	5719	47	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1669		0	4891	244	20	0	4722	95	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1856		0	299	20	0	0	279	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2161		0	2745	10	8	0	2828	101	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2732		0	5022	0	0	0	5022	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2750		0	510	0	1	0	509	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3252		0	3868	0	527	0	3618	306	29					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3458		0	750	0	7	0	578	10	175					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3720		0	1673	0	3	0	1794	0	-124					0	0	0	50	0	50	0	0	0	0	0	0	0	0	0	0		
3971		0	13225	1165	27	0	11799	1955	2189					0	0	0	0	0	0	0	0	1181	0	0	1181	0	0	0	25		
4156		0	2550	0	6	0	3044	0	-500					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
4231		0	904	40	1	0	864	1	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5069		0	13289	-418	5	0	12421	5	1286					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5135		0	4943	300	2	0	4494	106	253					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5210		0	19148	-176	44	0	17861	199	1618					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397		
5461		0	6592	0	382	0	6213	3	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5751		0	2371	-40	1	0	2410	0	0					0	0	40	0	0	40	0	0	0	0	0	0	0	0	0	0		
6039		0	4480	90	2	0	4401	13	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6329		0	21438	6400	1479	0	19520	6367	406					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7009		0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7045		0	1143	0	5	0	1150	12	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7072		0	3043	90	29	0	3000	45	-31					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7456		0	910	10	0	0	900	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7634		45	1282	50	72	0	1237	32	-45					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
8033		0	3242	1350	1	0	1893	2	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
