"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADFT29	RIADFT30	RIADFT31	RIADFT32	RIADJJ26	RIADJJ27	RIADJJ28	RIADT047	RIADY923	RIADY924	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	TEXTFT29	TEXTFT31	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	BK CARD CR CARD INTERCHANGE FEE	ACCOUNTING AND AUDITING EXPENSES	CONSULTING AND ADVISORY EXPENSE	ATM AND INTERCHANGE EXP	TELECOMMUNICATIONS EXP	DISCONTINUED OPERATIONS AND APPLICAB	DIS OPS APP TAX EFFECT 1	DIS OPS APP INCOME TAX EFFECT	DIS OP APP TAX EFFECT 2	Adoption of Current Expected Credit 	Initial allowances for credit losses	Effect of adoption of current expect	INCOME AND FEES FROM WIRE TRANSFERS	OTHER REAL ESTATE OWNED EXPENSES	INSURANCE EXPENSES NOT EMPLOY EXPENS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	DISCONTINUED OPERATIONS AND APPLICAB	DIS OPS APP INCOME TAX EFFECT	
37					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0													1						
242					CONF							0	0	0	0	false		0	0												0	0	0	0			0																			
279					CONF							142	143	0	0	false		0	0												0	0	0	0	-1010	0	1025										Additional Paid in Capital Stock Options	Additional Paid in Capital Stock Awards								
354					CONF							13	0	0	0	false		0	0												0	0	0	0	-245	0	252										Capital Contribution									
457					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
505					CONF							0	0	0	0	false		0	0												0	0	0	0	505	0	-684																			
1155					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
1351					CONF							0	0	0	0	false		0	0												0	0	0	0	-14	0	14																			
1454					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
1669					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
1856					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
2161					CONF							0	0	0	0	false		0	0					526		365			204	105	0	0	0	0	0	0	0			102																
2732					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
2750					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
3252					CONF							0	0	0	0	false		0	0												0	0	0	0	-29	0	29																			
3458					CONF							0	0	0	0	false		0	0												0	0	0	0	-175	0	175																			
3720					CONF							0	0	0	0	false		0	0												0	0	0	0	19	0	-74																			
3971					CONF							0	0	0	0	false		0	0												0	0	0	0	-715	1189	1000																	Exited and wound down the operations of the Bank's Consumer Banking Division.		
4156					CONF							0	0	0	0	false		0	0												0	0	0	0	288		-500																			
4231					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
5069					CONF							0	0	0	0	false		0	0												0	0	0	0	-1616	0	1286																			
5135					CONF							0	0	0	0	false		0	0												0	0	0	0	-252	0	252																			
5210					CONF							0	0	0	0	false		0	0												0	0	0	0	-2368	158	1460																			
5461					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
5751					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
6039	136				CONF	142						0	0	0	0	false		0	0					527						175	0	0	0	0	0	0	0				SBA package fees															
6329	1316		37	90	CONF				257	1633	149	0	0	0	0	false	545	0	0		201	21	199		731	3080	226	364	100	431	0	0	0	0	-1278	0	406	49	-19	117				Education & Training	Service Fee Analysis	Donations	Transfer from Holding Company									
7009					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
7045	34	0	52	0	CONF	0	0	0	0	0	0	0	0	0	0	false	14	0	0	3	0	10	31	0	37	302	30	0	160	30	0	0	0	0	0	0	0	0	0	0																
7072					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	-31																			
7456					CONF							0	0	0	0	false		0	0												0	0	0	0		0																				
7634					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	-45																			
8033					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
8462					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
8631					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
9357					CONF							0	0	0	0	false		0	0												0	0	0	0	600	0	-640																			
9553					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
9807	331				CONF	627			1206			0	0	0	0	false		0	0		6785										0	0	0	0	0	0	0		390		Absecon Success Fee			Computer Equipment Supplies												
9955					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
10250					CONF							0	0	0	0	false		0	0												0	0	0	0	864	0	-864										Downstream from Holding Company									
10849					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
11145	41	20	68	2	CONF	39	103		75			0	0	0	0	false	50	0	0	24		9	521	283	65		120	46	215	54	0	0	0	0	-466	0	590	16	-22	37	Other Misc Income	Other Misc Asset Income		Credit & Collections								CECL Adoption initial entry				
11640					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
11837					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	-26																			
12030					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
12142					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
12311	68941	0	0	0	CONF	61565	56044	47437	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	274002	0	196481	0	0	0	0	0	0	0	0		0		0	0	0	~Overhead charges	~Other Income - Non-recurring	~Commitments/Letter of credit fees													
12647					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
12946					CONF							0	0	0	0	false		0	0												0	0	0	0	-4000	0	4000																			
13103	869				CONF						1382	250	-250	0	0	false		20	0				148	3276				1616			0	0	0	0								Swap Fees	Prepayment Penalties	Other Computer Service Expenses		Other Computer Service Expenses	Capital Contribution from other partner of majority owned subsidiary.	Capital Contribution from other partner of majority owned subsidiary.				Misstatement found with aquisition entries from Nov 2022				
13251					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
13457					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
14155					CONF							0	0	0	0	false		0	0												0	0	0	0	-169	0	169																			
14650					CONF							2840	0	0	0	false		-503	0												0	0	0	0	0	0	0										Capital Injection					Adjusting entries per CPA				
14753					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
14865					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
14977	19	0	80	4	CONF	0	0	0	0	0	0	0	0	0	0	false	8	0	0	0	0	0	0	20	0	0	25	11	0	10	0	0	0	0	0	0	0	0	0	0																
16551					CONF							0	0	0	0	false		0	0												0	0	0	0	-704	0	485																			
17110					CONF				1974	659		0	0	0	0	false		0	0					1451							0	0	0	0	0		0							REFERRAL FEES	CUSTODIAN COSTS											
17147	0	0	0	0	CONF	1787	0	0	5231	0	0	0	0	0	0	false	0	0	0	0	2582	0	1279	5916	0	9216	0	0	2821	0	0	0	0	0				0	0	0	Derivative Hedge Income			Other Outside Services												
17259					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
17950					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0										Capital Injection Acquisition of Malta and Glasgow									
17978					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
18050					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	-148																			
18827					CONF							0	0	0	0	false		0	0												0	0	0	0	-3346	0	2433																			
18836					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
18854					CONF	166	69					0	0	0	0	false		0	0					884		331	257				0	0	0	0	-572	0	250	127			Secondary Market Income	BSA Monitoring Fee Income														
19356					CONF							1250	0	0	0	false		0	0												0	0	0	0	-95	0	95										SSB Holdings made Advance on Bank Stock Loan									
19936					CONF							0	0	-315	0	false		0	0												0	0	0	0	0	0	0												Adjustment to Allowance for Credit Lossses related to unfunded committments							
19972					CONF							0	0	0	0	false		0	0												0	0	0	0	-30	0	-9																			
20053					CONF							0	0	0	0	false		0	0												0	0	0	0																						
20633					CONF							0	0	0	0	false		0	0												0	0	0	0	-3	0	-16																			
20857					CONF							0	0	100	0	false		0	0												0	0	0	0	0	0	0												ACL from non-surviving bank due to merger between entities under common control.							
21256					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
21359					CONF							0	0	0	0	false		0	0												0	0	0	0																						
21658					CONF							0	0	0	0	false		0	0					213							0	0	0	0	0	0	0							Maintenance Agreements	Education	Insurance Expense										
22048					CONF							0	0	-145	0	false		0	0												0	0	0	0	0	0	0												Unfunded Committment Liability							
22543					CONF							0	0	0	0	false		0	0												0	0	0	0	-151	0	151																			
22552					CONF							0	0	0	0	false		0	0												0	0	0	0	-27	0	27																			
22730					CONF							0	0	0	0	false		0	0												0	0	0	0																						
23456					CONF							0	0	0	0	false		0	0												0	0	0	0	-239	0	239																			
23504	2937	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	5015	0	0	8423	0	713	0	1919	0	0	0	0	0	0				0	0	0																
23643					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
23755					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
24006					CONF							5000	0	-9296	0	false		0	0												0	0	0	0	0	0	0										Capital contribution		PCSB acquistion							
24378					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
24659					CONF							0	0	0	0	false		0	0												0	0	0	0	-11	0	11																			
24949					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
25357					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	-350																			
25647					CONF							0	0	0	0	false		0	0					307							0	0	0	0							Loan fees						Holding Company capital infusion									
26765					CONF							0	0	0	0	false		0	0												0	0	0	0	-14148	0	6205																			
27070					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
27548					CONF							0	0	0	0	false		0	0												0	0	0	0	-1903	0	2408																			
27614					CONF							0	0	0	0	false		0	0												0	0	0	0	-280	0	343																			
27847					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
28013	1420				CONF							1455	459	0	0	false		0	0		1759			3844		740		836			0	0	0	0		0											capital contribution	change in unallocated ESOP								
28152					CONF							500	0	0	0	false		0	0					204							0	0	0	0	0	0	0					Contract Services					capital contribution from holding company									
28675					CONF							0	0	0	0	false		0	0					243							0	0	0	0	0	0	0							CORRESPONDANT BANK CHARGES	CONTRIBUTIONS							ASU 2016-01				
28732					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	-132																			
29476					CONF							0	0	0	0	false		0	0												0	0	0	0	424	0	-668												0							
29636					CONF							0	0	0	0	false		0	0												0	0	0	0	-984	0	634																			
29878	205		759	123	CONF	67			2323	142		0	0	0	0	false	45	0	0	2		89	110	728	73		447	610		369	0	0	0	0		0		8	540	620	MISC OPERATING INCOME			OUTSIDE SERVICE FEES EXP	MTG LOAN EXPENSE											
30052					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
30502					CONF							0	0	0	0	false		0	0												0	0	0	0	16	0	-242																			
30650					CONF							0	0	1115	0	false		0	0												0	0	0	0	-792	-792	792												Push down accounting adjustment due to bank sale / change of control 12/31/21							
30810	481785				CONF	112334			766576			0	0	-68000	0	false		51577	0							385098					0	0	0	0		0					Net Credit Card Fee Income			Servicing Fees Paid To Affiliates					ASU 2022-02			ASU 2022-02				
31134					CONF	32			92			0	0	0	0	false		0	0				35	473		313				116	0	0	0	0	0	0	0				Promotional Fee	OTHER MISC INCOME		Misc Servicing												
